"","timeline","Sr.est","Sr.est.5pct","Sr.est.95pct"
"2",-425.300669780847,0.706561482228482,0.706217471373704,0.706826219848498
"3",-420.324192499757,0.706561876489828,0.706183103228895,0.706851861602876
"4",-415.347715218667,0.706583616136397,0.706185804281502,0.706895994776502
"5",-410.371237937577,0.706589555259666,0.706206429808999,0.707000247230771
"6",-405.394760656486,0.706602752326784,0.706176629832046,0.707013674236864
"7",-400.418283375396,0.70660098141173,0.706224325480061,0.707081928148922
"8",-395.441806094306,0.706614802558582,0.706250355904483,0.707124308171974
"9",-390.465328813216,0.706632997415145,0.706260045524411,0.707120145424117
"10",-385.488851532126,0.706675873666386,0.706268945529582,0.707174724205314
"11",-380.512374251036,0.706698744801669,0.706278752492746,0.707166989380411
"12",-375.535896969945,0.706707206374644,0.706321714050294,0.707195038916771
"13",-370.559419688855,0.706730539318225,0.706352349917672,0.707175909663881
"14",-365.582942407765,0.706758495640424,0.706375680316746,0.707207419102625
"15",-360.606465126675,0.706780724346454,0.706424019443697,0.707257963952655
"16",-355.629987845585,0.706821337857929,0.706439181420784,0.707294771747996
"17",-350.653510564495,0.706827729001862,0.706460698913262,0.707291703279614
"18",-345.677033283405,0.70684049049917,0.706466327454965,0.707315539312858
"19",-340.700556002314,0.706842486193394,0.706485288790801,0.707331100485253
"20",-335.724078721224,0.706831886383395,0.706451877221517,0.707297862934056
"21",-330.747601440134,0.706836930756874,0.706424275137796,0.707263653119385
"22",-325.771124159044,0.706829230926607,0.706434955581971,0.70730116637764
"23",-320.794646877954,0.706789281210914,0.706433708421798,0.70730180839917
"24",-315.818169596864,0.706790592507381,0.706381212846935,0.707248247020192
"25",-310.841692315774,0.706782002016999,0.706353299027657,0.707267719713628
"26",-305.865215034683,0.706740405465969,0.706294428296252,0.707243586637866
"27",-300.888737753593,0.706698500472058,0.706236652540769,0.707199514160172
"28",-295.912260472503,0.706592511718911,0.706188070922245,0.707157103059007
"29",-290.935783191413,0.706523695293507,0.706062397157312,0.707077818956043
"30",-285.959305910323,0.706458565093581,0.706005408123489,0.706985876280621
"31",-280.982828629233,0.7063754824578,0.705925337771453,0.706852718294432
"32",-276.006351348143,0.706346357944238,0.705954061156409,0.70682211768139
"33",-271.029874067052,0.70631901419263,0.705937700076941,0.706721544345887
"34",-266.053396785962,0.706299254673444,0.705933539412813,0.706682393876825
"35",-261.076919504872,0.706273130711214,0.705939913084164,0.706678765276873
"36",-256.100442223782,0.706243768081286,0.7058942816579,0.706632081758267
"37",-251.123964942692,0.706219913771293,0.705875615152469,0.70663551242646
"38",-246.147487661602,0.706217237816716,0.705818723259802,0.706596579274814
"39",-241.171010380512,0.706164974853026,0.705795676104309,0.706565004190112
"40",-236.194533099421,0.706106181439929,0.705758254517121,0.706502192530986
"41",-231.218055818331,0.706114970156933,0.705697059794812,0.706423411578998
"42",-226.241578537241,0.706046558719182,0.705681547967007,0.706422929271215
"43",-221.265101256151,0.70600474714381,0.705683508493483,0.706392791574242
"44",-216.288623975061,0.706005190103053,0.70562874288352,0.706369741582512
"45",-211.312146693971,0.705993233452826,0.705636119283093,0.706376199706128
"46",-206.335669412881,0.705995411149327,0.705620201278781,0.70634809721575
"47",-201.35919213179,0.705956376737987,0.705599766052612,0.70632009238149
"48",-196.3827148507,0.705930121730284,0.705585177686351,0.706306168701092
"49",-191.40623756961,0.705926686667465,0.705576623203416,0.706291661092664
"50",-186.42976028852,0.705867556082258,0.705553984166431,0.706287658604068
"51",-181.45328300743,0.705863803219291,0.70551193418931,0.706256497478738
"52",-176.47680572634,0.705823944933383,0.705436268337078,0.706190398892702
"53",-171.500328445249,0.705803806547797,0.705369645478598,0.706124878665121
"54",-166.523851164159,0.705787036454442,0.705328236989858,0.706099686130265
"55",-161.547373883069,0.705781680816122,0.705331992817754,0.7060967028426
"56",-156.570896601979,0.705783207830746,0.705332480054343,0.706089185144731
"57",-151.594419320889,0.705833796451036,0.705362329295708,0.706143386830494
"58",-146.617942039799,0.705854486623877,0.705413035118412,0.70622642285892
"59",-141.641464758709,0.705875442834427,0.705461206168604,0.706294997064016
"60",-136.664987477618,0.705902040028362,0.705453227348417,0.706303161913379
"61",-131.688510196528,0.705963383256759,0.705550249110549,0.706380920006647
"62",-126.712032915438,0.706026988958982,0.705644295820567,0.706440589985135
"63",-121.735555634348,0.706071719690278,0.705694470648124,0.706452348615735
