Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9)
118,13:55:38:164,7.35859E-05,-1.27E-05,0.001623454,0.00068472,0.030569349,0.02239545,0.266975567,0.708265495,7.3261129720580220e-001,8.7334398654420209e+000
119,13:55:38:692,-8.49E-05,-5.39E-05,0.001932679,0.000536912,0.036526355,0.026852936,0.32055649,0.711428732,7.3516602851768198e-001,8.7760327289957321e+000
120,13:55:39:217,5.34763E-05,6.81943E-05,0.00214133,0.000599984,0.039255479,0.028834674,0.34468002,0.712209507,7.3453882196347353e-001,8.7804307605587510e+000
121,13:55:39:745,-0.000115901,3.86798E-05,0.002225419,0.000507639,0.043146258,0.031517719,0.379433463,0.708603045,7.3048556712647217e-001,8.7941221349294505e+000
122,13:55:40:272,9.47326E-06,4.88199E-06,0.00250536,0.000487172,0.045498823,0.033210497,0.399394947,0.70868061,7.2991991982306292e-001,8.7781380654678731e+000
123,13:55:40:799,-3.81E-05,-4.49E-05,0.002461373,0.000471703,0.047123309,0.034427442,0.413598925,0.709057014,7.3058200664562090e-001,8.7769499247443701e+000
124,13:55:41:325,1.98824E-05,-1.51E-05,0.002612026,0.000400548,0.049897016,0.036371968,0.437072752,0.709318531,7.2894076135467878e-001,8.7594968718870501e+000
125,13:55:41:851,-3.43E-05,-5.27E-05,0.002781153,0.000479318,0.053272377,0.039092729,0.467717235,0.712487062,7.3382738002483527e-001,8.7797327786938126e+000
126,13:55:42:378,7.81727E-06,2.79691E-05,0.003039274,0.000557856,0.057965052,0.042356925,0.508369628,0.71043749,7.3073210234530828e-001,8.7702780821146540e+000
127,13:55:42:904,7.47688E-05,3.92995E-06,0.003414629,0.00060046,0.063075072,0.046031345,0.553148453,0.709342127,7.2978663955433765e-001,8.7696840951706534e+000
128,13:55:43:431,1.16024E-05,6.98605E-05,0.003537016,0.000708286,0.06721861,0.049084647,0.590430939,0.709341335,7.3022406988081756e-001,8.7837421339063813e+000
129,13:55:43:959,1.23121E-05,3.98699E-05,0.003641898,0.000615693,0.069345924,0.050760058,0.608515622,0.711809932,7.3198329875423240e-001,8.7750741137604749e+000
130,13:55:44:486,1.79898E-05,-1.78E-06,0.003704406,0.000564282,0.067996575,0.049706665,0.596715497,0.710730275,7.3101718772205349e-001,8.7756698846383401e+000
131,13:55:45:012,-1.11E-05,1.08322E-05,0.003287049,0.000538816,0.06344464,0.046497935,0.558373742,0.711553101,7.3288989413285288e-001,8.8009600545046833e+000
132,13:55:45:539,4.59058E-05,8.53322E-05,0.003249418,0.000363902,0.058730498,0.042991688,0.516387768,0.712691098,7.3201640205583618e-001,8.7924976941111961e+000
133,13:55:46:065,2.55602E-05,1.15463E-05,0.002903462,0.000560474,0.05488958,0.03993983,0.480853372,0.707436545,7.2763955974622996e-001,8.7603761617215792e+000
134,13:55:46:592,9.10934E-05,0.000117466,0.002757024,0.000418872,0.053076338,0.03878977,0.466472818,0.711450187,7.3082980803381026e-001,8.7887151539030199e+000
135,13:55:47:118,-4.72E-06,-7.41E-05,0.002912926,0.000522394,0.05345665,0.039210359,0.469351752,0.711624743,7.3349824745775583e-001,8.7800442841328099e+000
136,13:55:47:646,0.000381905,4.24881E-05,0.002945576,0.000440766,0.055731867,0.040856934,0.489375738,0.713150087,7.3309825387458982e-001,8.7808962045135601e+000
