Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9)
1,20:38:56:532,3.69E-05,5.28E-05,0.000126447,-3.79E-05,1.34E-05,4.38E-05,-0.000113252,,3.277258063,-8.464956866
2,20:38:57:059,9.63E-05,2.06E-06,0.000127157,1.61E-05,-4.92E-06,-3.96E-05,-4.81E-05,,8.047832662,9.765269323
3,20:38:57:585,-4.62E-05,7.59E-05,0.000134255,1.94E-05,7.93E-05,-1.58E-05,-0.000149046,,-0.198774441,-1.879269711
4,20:38:58:111,2.67E-05,-4.89E-05,2.94E-05,-2.89E-05,-4.93E-05,6.93E-05,-0.000170617,,-1.407282402,3.463324978
5,20:38:58:638,4.00E-06,4.83E-05,6.33E-05,4.13E-05,-7.97E-06,3.94E-05,-9.12E-05,-0.89580429,-4.943057945,11.44126593
6,20:38:59:166,3.00E-05,-5.32E-05,6.30E-05,5.44E-05,1.62E-05,5.60E-05,-0.000165402,,3.458142663,-10.21350532
7,20:38:59:693,1.99E-05,5.15E-06,9.64E-05,7.63E-05,2.84E-05,-8.33E-05,1.76E-05,,-2.934311877,0.620130489
8,20:39:00:219,-2.72E-05,-4.22E-05,-0.000100418,4.21E-06,4.55E-05,-1.76E-05,-0.000185076,,-0.387386925,-4.065544507
9,20:39:00:746,-4.12E-05,2.37E-05,0.000162173,-4.11E-06,4.51E-05,3.61E-05,-0.00017441,,0.801966783,-3.871137629
10,20:39:01:273,1.92E-05,2.53E-06,0.000142772,2.42E-05,-4.22E-06,-2.61E-05,-0.000131031,,6.176362724,31.06643439
11,20:39:01:799,0.000100108,1.35E-05,4.41E-05,-1.60E-05,-2.70E-05,-6.77E-05,-0.000182706,,2.50813864,6.772973608
12,20:39:02:325,-1.99E-05,-4.63E-05,1.67E-05,-3.41E-05,-0.000108619,0.000116787,-0.000183417,,-1.075206398,1.688634616
13,20:39:02:852,7.05E-05,2.94E-05,8.65E-05,-7.04E-08,-7.69E-05,-1.65E-05,-0.000248125,0.328139264,0.21399313,3.224603455
14,20:39:03:378,2.11E-06,3.11E-05,2.72E-06,8.32E-05,-8.12E-05,2.00E-06,-0.000208779,0.149545272,-0.024653706,2.572112001
15,20:39:03:906,-0.000129019,-2.84E-05,6.49E-05,-1.03E-05,1.18E-06,-3.38E-05,-0.000135061,,-28.64972805,-114.6012282
16,20:39:04:433,-3.25E-05,3.63E-05,2.68E-05,2.18E-05,-9.10E-05,1.09E-05,-8.22E-05,-0.334763469,-0.1195769,0.903040694
17,20:39:04:959,-2.06E-05,8.83E-05,-7.46E-05,2.25E-05,-7.74E-06,-8.38E-05,-0.000208542,0.837307015,10.82935237,26.9536476
18,20:39:05:486,-7.12E-06,6.95E-05,-8.22E-05,-1.93E-05,-4.72E-05,-2.58E-05,-5.30E-05,1.393237765,0.547515485,1.124849798
19,20:39:06:013,-4.10E-05,3.16E-05,-5.55E-05,7.61E-05,-2.44E-05,1.18E-05,-6.61E-05,-0.280016833,-0.484501966,2.708672795
20,20:39:06:539,2.65E-05,2.71E-05,4.44E-05,5.44E-05,8.56E-05,-4.31E-05,-0.000231771,,-0.503406248,-2.706145687
