id,Time,x,y,z
PositionLog0, 16:58:27.948,36270,70354,20733
PositionLog1, 16:58:30.158,36267,70294,20733
PositionLog2, 16:58:32.852,36264,70234,20733
PositionLog3, 16:58:34.912,36262,70180,20733
PositionLog4, 16:58:37.071,36260,70136,20733
PositionLog5, 16:58:39.949,36256,70056,20733
PositionLog6, 16:58:42.130,36254,70012,20733
PositionLog7, 16:58:44.981,36250,69932,20733
PositionLog8, 16:58:48.106,36246,69865,20733
PositionLog9, 16:58:50.243,36243,69802,20733
PositionLog10, 16:58:52.969,36240,69742,20733
PositionLog11, 16:58:55.016,36236,69685,20733
PositionLog12, 16:58:58.046,36232,69610,20733
PositionLog13, 16:59:00.052,36229,69562,20733
PositionLog14, 16:59:03.432,36223,69479,20733
PositionLog15, 16:59:06.140,36219,69420,20733
PositionLog16, 16:59:09.116,36212,69344,20733
PositionLog17, 16:59:11.457,36208,69302,20733
PositionLog18, 16:59:14.168,36199,69225,20733
PositionLog19, 16:59:16.358,36194,69181,20733
PositionLog20, 16:59:19.251,36185,69104,20733
PositionLog21, 16:59:22.177,36175,69027,20733
PositionLog22, 16:59:24.195,36170,68982,20733
PositionLog23, 16:59:26.223,36164,68935,20733
PositionLog24, 16:59:28.224,36157,68879,20733
PositionLog25, 16:59:31.227,36147,68804,20733
PositionLog26, 16:59:34.528,36139,68739,20733
PositionLog27, 16:59:37.309,36129,68659,20733
PositionLog28, 16:59:39.372,36124,68617,20733
PositionLog29, 16:59:42.330,36115,68541,20733
PositionLog30, 16:59:44.354,36110,68497,20733
PositionLog31, 16:59:46.387,36103,68440,20733
PositionLog32, 16:59:48.412,36099,68400,20733
PositionLog33, 16:59:51.585,36091,68317,20733
PositionLog34, 16:59:54.408,36088,68246,20733
PositionLog35, 16:59:56.653,36088,68204,20733
PositionLog36, 16:59:59.666,36092,68125,20733
PositionLog37, 17:00:02.454,36097,68065,20733
PositionLog38, 17:00:05.740,36103,67988,20733
PositionLog39, 17:00:08.499,36109,67908,20733
PositionLog40, 17:00:11.472,36115,67842,20733
PositionLog41, 17:00:14.767,36121,67765,20733
PositionLog42, 17:00:17.514,36127,67686,20733
PositionLog43, 17:00:19.519,36130,67642,20733
PositionLog44, 17:00:22.704,36134,67558,20733
PositionLog45, 17:00:25.534,36136,67497,20733
PositionLog46, 17:00:27.929,36137,67434,20733
PositionLog47, 17:00:30.535,36134,67378,20733
PositionLog48, 17:00:32.557,36130,67322,20733
PositionLog49, 17:00:35.872,36121,67257,20733
PositionLog50, 17:00:38.663,36109,67180,20733
PositionLog51, 17:00:41.793,36096,67103,20733
PositionLog52, 17:00:44.856,36085,67039,20733
PositionLog53, 17:00:47.721,36069,66959,20733
PositionLog54, 17:00:50.718,36054,66887,20733
PositionLog55, 17:00:52.862,36043,66834,20733
PositionLog56, 17:00:55.728,36029,66766,20733
PositionLog57, 17:00:57.810,36019,66716,20733
PositionLog58, 17:01:00.740,36004,66646,20733
PositionLog59, 17:01:02.830,35994,66596,20733
PositionLog60, 17:01:05.997,35978,66515,20733
PositionLog61, 17:01:08.843,35965,66447,20733
PositionLog62, 17:01:11.033,35955,66395,20733
PositionLog63, 17:01:13.894,35943,66328,20733
PositionLog64, 17:01:16.898,35934,66264,20733
PositionLog65, 17:01:18.955,35928,66209,20733
PositionLog66, 17:01:22.093,35924,66144,20733
PositionLog67, 17:01:24.125,35922,66082,20733
PositionLog68, 17:01:26.970,35922,66022,20733
PositionLog69, 17:01:28.970,35921,65965,20733
PositionLog70, 17:01:31.009,35921,65924,20733
PositionLog71, 17:01:33.142,35922,65863,20733
PositionLog72, 17:01:36.211,35923,65801,20733
PositionLog73, 17:01:39.050,35924,65724,20733
PositionLog74, 17:01:42.062,35926,65652,20733
PositionLog75, 17:01:45.266,35928,65589,20733
PositionLog76, 17:01:48.025,35931,65508,20733
PositionLog77, 17:01:50.045,35932,65466,20733
PositionLog78, 17:01:52.070,35934,65410,20733
PositionLog79, 17:01:54.254,35936,65367,20733
PositionLog80, 17:01:57.142,35939,65288,20733
PositionLog81, 17:02:00.134,35941,65223,20733
PositionLog82, 17:02:02.330,35943,65170,20733
PositionLog83, 17:02:05.127,35946,65101,20733
PositionLog84, 17:02:07.167,35947,65049,20733
PositionLog85, 17:02:10.355,35949,64981,20733
PositionLog86, 17:02:13.184,35951,64910,20733
PositionLog87, 17:02:15.234,35952,64854,20733
PositionLog88, 17:02:18.432,35952,64787,20733
PositionLog89, 17:02:21.276,35953,64710,20733
PositionLog90, 17:02:23.469,35954,64663,20733
PositionLog91, 17:02:26.287,35954,64586,20733
PositionLog92, 17:02:29.286,35955,64514,20733
PositionLog93, 17:02:31.310,35955,64461,20733
PositionLog94, 17:02:33.395,35956,64413,20733
PositionLog95, 17:02:36.523,35956,64336,20733
PositionLog96, 17:02:39.389,35957,64255,20733
PositionLog97, 17:02:41.571,35957,64209,20733
PositionLog98, 17:02:44.413,35958,64135,20733
PositionLog99, 17:02:46.421,35958,64086,20733
PositionLog100, 17:02:48.431,35959,64032,20733
PositionLog101, 17:02:50.469,35959,63988,20733
PositionLog102, 17:02:52.603,35959,63930,20733
PositionLog103, 17:02:54.687,35960,63889,20733
PositionLog104, 17:02:57.587,35960,63809,20733
PositionLog105, 17:03:00.560,35960,63744,20733
PositionLog106, 17:03:03.731,35961,63666,20733
PositionLog107, 17:03:06.553,35961,63587,20733
PositionLog108, 17:03:08.583,35962,63543,20733
