Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9),Column1
1,19:10:24:529,-2.88171E-05,1.33219E-06,-1.28365E-05,1.22198E-05,5.26678E-05,-7.65368E-05,8.93832E-05,,-1.453198652,1.697113659,
2,19:10:25:056,-7.04138E-06,5.94395E-05,7.30278E-05,-3.05974E-05,8.36356E-05,8.31017E-06,2.94539E-05,,0.099361622,0.352169551,
3,19:10:25:582,2.30194E-05,1.32391E-05,-3.12858E-05,6.81227E-05,4.57573E-06,6.04374E-05,2.16373E-05,,,4.728718951,
4,19:10:26:110,0.000104448,2.49081E-05,0.000146598,-2.89323E-05,-4.80782E-06,-1.8103E-05,2.18742E-05,,3.765330068,-4.549712479,
5,19:10:26:637,1.00008E-05,-4.34367E-05,6.54582E-05,-2.0528E-06,1.05689E-06,-6.64864E-05,-1.98133E-05,,,,
6,19:10:27:163,-6.78702E-05,1.72875E-05,9.38445E-05,-2.0528E-06,8.56376E-06,-4.77964E-06,4.65085E-05,,-0.558124136,5.43085498,
7,19:10:27:690,3.46179E-05,2.70514E-05,3.13957E-05,-3.25003E-05,8.56376E-06,-6.08769E-05,-5.20252E-05,,,-6.075041211,
8,19:10:28:217,1.71638E-06,-3.34775E-07,-2.77379E-05,-8.23752E-06,0.000113197,2.23274E-06,-1.46025E-05,,0.019724393,-0.129000818,
9,19:10:28:743,5.92355E-05,-7.01066E-05,4.86633E-05,-6.1044E-05,-2.897E-05,2.14002E-05,-2.92875E-05,,-0.738699875,1.010958664,
10,19:10:29:271,-1.24854E-05,-3.55785E-05,0.000118683,1.72152E-05,-1.93521E-05,1.78939E-05,-4.23144E-05,,-0.92464713,2.186547858,
11,19:10:29:796,-4.84622E-05,2.28474E-06,1.8386E-05,-8.55433E-05,-6.62678E-05,7.02554E-05,-3.28403E-05,,-1.06017372,0.495569372,
12,19:10:30:324,0.000107052,3.51483E-05,1.88591E-05,4.5999E-05,-4.72672E-05,5.17883E-05,-9.11044E-05,,-1.095649024,1.927431762,
13,19:10:30:851,-4.08882E-05,2.72895E-05,-4.59503E-05,4.00519E-05,0.000128916,-1.57656E-05,-4.6104E-05,,-0.122293466,-0.357627653,
14,19:10:31:378,7.15446E-05,-4.46273E-05,1.90956E-05,2.74441E-05,-7.4947E-05,-4.70866E-05,5.76745E-06,,0.628265374,-0.076953679,
15,19:10:31:904,-2.19531E-05,-2.03381E-05,1.64937E-05,-5.62091E-06,-1.93521E-05,-1.38957E-05,-4.23144E-05,,0.718042621,2.186547858,
16,19:10:32:430,-8.46155E-06,1.03815E-05,-2.11151E-05,2.22895E-06,-7.1663E-05,-3.79709E-05,-9.86532E-06,,0.52985352,0.137662706,
17,19:10:32:957,4.07722E-05,-4.29604E-05,-4.19294E-05,9.16742E-05,-1.99276E-06,1.5315E-06,-0.000123551,,-0.768529096,,
18,19:10:33:485,4.31393E-05,-5.72912E-07,7.20816E-05,4.26686E-05,3.95302E-05,1.48551E-05,1.90318E-05,1.485937827,0.375792145,0.481449545,
19,19:10:34:012,-1.76926E-05,1.09405E-06,-3.22319E-05,-5.27188E-05,-5.26625E-05,-5.94837E-06,-0.000106262,0.044616789,0.112952582,2.017791468,
20,19:10:34:539,2.79901E-05,1.27629E-05,5.31577E-05,-4.90729E-06,2.63928E-05,4.29055E-05,-3.59194E-05,,1.625651658,-1.360953317,
21,19:10:35:065,4.69266E-05,2.41937E-05,6.64044E-05,1.41228E-05,-4.11682E-05,1.48551E-05,-0.000115499,-0.525222864,-0.360840195,2.805526151,
22,19:10:35:592,-5.57994E-05,-4.85937E-06,1.12899E-05,6.03497E-06,-5.74617E-06,4.08017E-05,-8.37624E-05,,,14.57708033,
