Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9)
99,15:57:04:154,0.000134076,-1.39E-05,0.007506737,0.000437246,0.138881888,0.100983692,1.217732998,0.709224033,7.2711922908882698e-001,8.768119539
100,15:57:04:680,-9.05E-06,0.00011057,0.007609909,0.000415115,0.140376909,0.102396917,1.231792284,0.711798623,7.2944273987411312e-001,8.774892503
101,15:57:05:207,2.73819E-05,5.96343E-05,0.007754605,0.000350865,0.141924476,0.103508051,1.245844285,0.711522193,7.2931782938678302e-001,8.778220098
102,15:57:05:735,-2.18E-05,1.58414E-05,0.007826724,0.000406072,0.144246457,0.105120542,1.26650511,0.710582515,7.2875649381806340e-001,8.780147116
103,15:57:06:260,9.26745E-05,8.93941E-06,0.00802484,0.000414639,0.146557895,0.106905862,1.28648204,0.711309864,7.2944457907686644e-001,8.777978417
104,15:57:06:788,1.17691E-05,2.67894E-05,0.0080863,0.000474133,0.148761309,0.108303946,1.305471252,0.709959479,7.2803840461274760e-001,8.775610144
105,15:57:07:315,-1.66E-05,-2.27E-05,0.0080863,0.000401789,0.149389441,0.108870266,1.311103396,0.710647277,7.2876814643919885e-001,8.776412773
106,15:57:07:842,-2.18E-05,-4.51E-05,0.008043112,0.000390842,0.148818351,0.108612226,1.307430792,0.711255661,7.2983087051727757e-001,8.785413805
107,15:57:08:368,3.164E-05,9.62885E-05,0.007946775,0.000414163,0.146896529,0.10701417,1.289598128,0.710690509,7.2850032755434080e-001,8.778955727
108,15:57:08:894,8.55773E-05,4.20217E-05,0.007773109,0.000420826,0.144018384,0.104877742,1.26430477,0.71018058,7.2822468012334995e-001,8.778773458
109,15:57:09:421,8.39213E-05,-2.25E-05,0.007739423,0.000333495,0.142250423,0.103677546,1.249117528,0.710656262,7.2883822903769646e-001,8.781116458
110,15:57:09:947,4.11025E-05,8.48637E-05,0.00762414,0.000429393,0.140739833,0.102453024,1.235682628,0.710002537,7.2796039088281539e-001,8.779906905
111,15:57:10:475,5.38213E-06,7.03542E-06,0.007510531,0.000302086,0.139443782,0.101599204,1.223677241,0.710848874,7.2860332796779104e-001,8.775416295
112,15:57:11:002,8.93625E-05,-0.000125758,0.007478989,0.00035967,0.137957713,0.10044984,1.211567324,0.709382055,7.2812050874593692e-001,8.782164466
113,15:57:11:529,4.58337E-05,5.1542E-05,0.007518832,0.000327546,0.137347317,0.100027149,1.206151357,0.710371579,7.2827887136146963e-001,8.781761321
114,15:57:12:055,5.6006E-05,7.12968E-05,0.007445787,0.000358718,0.138286283,0.100653226,1.213473067,0.710233621,7.2786124758211979e-001,8.775079078
115,15:57:12:582,4.5124E-05,6.22524E-05,0.007647148,0.000374423,0.13920974,0.101207829,1.220835967,0.709548799,7.2701686634417761e-001,8.769759662
116,15:57:13:108,3.61347E-05,1.13194E-05,0.007615364,0.000363477,0.139420182,0.101546586,1.2240762,0.710266425,7.2834925442316623e-001,8.779763291
117,15:57:13:635,1.48444E-05,3.74996E-05,0.007721157,0.000414401,0.140281674,0.102116676,1.232242613,0.709660402,7.2794023845836731e-001,8.784059771
118,15:57:14:161,4.22853E-05,3.27395E-05,0.007604454,0.000316363,0.140077666,0.101970065,1.229076127,0.710330027,7.2795377090405933e-001,8.774247625
119,15:57:14:689,2.02852E-05,1.60794E-05,0.007591883,0.000425586,0.139578112,0.101767895,1.225600966,0.710814232,7.2911070001416367e-001,8.780753302
120,15:57:15:216,1.15326E-05,2.46474E-05,0.007543261,0.000399647,0.138830105,0.101186691,1.218397607,0.710852207,7.2885266073371602e-001,8.776177237
121,15:57:15:742,8.93625E-05,-1.51E-05,0.007467842,0.000182884,0.137098339,0.099722206,1.20137422,0.710401475,7.2737720291907804e-001,8.762864885
122,15:57:16:269,4.65434E-05,-2.20E-05,0.007470214,0.00042154,0.137091061,0.099789827,1.202662207,0.709802134,7.2790907052516762e-001,8.772725193
123,15:57:16:796,-2.73E-05,4.65545E-06,0.007576466,0.000410118,0.137928579,0.100523526,1.210923785,0.710559932,7.2880854088858160e-001,8.779353756
124,15:57:17:322,2.66722E-05,2.08394E-05,0.007784259,0.000319694,0.140885389,0.102321867,1.234008958,0.709263279,7.2627734843071523e-001,8.758956243
