"","log.a","log.b","log.c"
"186",-3.51606311473383,-3.89035955051714,-5.74743495068181
"187",-3.68783679487451,-3.6906718083236,-5.36738561473852
"188",-3.9655291224616,-4.08562346506938,-5.75679021774747
"189",-4.07110538397262,-4.53475153186556,-5.67501362126107
"190",-3.92662617779369,-4.14195140750197,-5.42733998217253
"191",-3.88979951490791,-4.40647612952578,-5.65821528819212
"192",-4.19304288170417,-4.65186475565682,-5.93813259269183
"193",-4.26770819330952,-4.45704843270125,-5.3178354420324
"194",-4.11274663771353,-4.15292566882949,-5.66198000135492
"195",-3.97629296316433,-4.09960261920869,-5.95598135711768
"196",-4.00203399487724,-4.54197099402814,-5.63775810324645
"197",-3.85536116101496,-4.13404271269477,-5.08089679494358
"198",-4.07315771000966,-4.19931566894616,-5.49134791148795
"199",-3.07718188450143,-3.2325488118309,-5.42151415927193
"200",-3.69293288557293,-3.88462427795729,-5.15577130371994
"201",-4.18264196402621,-4.25363139922925,-5.81255906895131
"202",-4.22654943805528,-4.47323499232785,-5.8506535207452
"203",-3.86474677066612,-3.93308042649762,-5.618551350628
"204",-4.24317126567591,-4.37172444024025,-5.40071031378487
"205",-3.98084717972948,-4.15278329243991,-5.54862119102615
"206",-4.18139181067165,-4.20179505386332,-5.70059358475467
"207",-4.05309654456267,-4.34662249563592,-5.77025720761312
"208",-3.62250617311318,-4.04820024056083,-5.41745846016459
"209",-4.15079980319041,-4.15327607604477,-5.81852802753633
"210",-3.45302538097211,-3.48350439274521,-5.69602665816513
"211",-4.31853653466935,-4.72928226968246,-5.75920857631773
"212",-4.18837478694299,-4.41618854712224,-5.70645970955548
"213",-4.28427974736175,-4.71562065061815,-6.20596102959125
"214",-3.90845558654491,-3.9167477790458,-5.77838188027443
"215",-3.54229319923825,-3.68974966088375,-5.54124055724523
"216",-3.71405788942704,-3.71566251675927,-5.49237034682416
"217",-4.05167336490563,-4.62034900046059,-5.19901068608995
"218",-3.81455925714099,-4.05941827047306,-5.6183799728284
"219",-4.02755080915404,-4.35190242097393,-5.76458622568001
"220",-3.97501308785704,-4.35273282882047,-5.40826672379675
"221",-4.2332171279506,-4.6072286648814,-5.76478337126795
"222",-4.11622948825078,-4.22125822022214,-5.36939895108328
"223",-4.17269558068754,-4.42436309547683,-5.98574147119098
"224",-4.11133478232175,-4.57518678288968,-5.58888014662513
"225",-3.98233475204294,-4.04705107433629,-5.27950661545736
"226",-4.34685072345048,-4.35039369850761,-5.91233646253982
"227",-4.34439422370003,-4.40367282908688,-5.14527923438839
"228",-3.73005165124204,-3.82133484012383,-5.89875821344179
"229",-3.7357109651304,-3.86172881410549,-5.89714958069902
"230",-4.37567316170972,-4.52868822622432,-5.78496141499145
"231",-3.92024075583219,-4.28707575909651,-5.2023297252076
"232",-4.00400181881454,-4.08074475308687,-5.83073119396477
"233",-3.88398410075484,-3.91475200627289,-5.38089936534217
"234",-3.99155606196543,-4.02331714036649,-5.62381748012105
"235",-4.0820695970043,-4.17472657094413,-6.04423242893295
"236",-3.82626224968592,-4.06312529534224,-5.67272272234924
"237",-4.00211531638448,-4.27363451732833,-6.01002138067751
"238",-4.06033711392345,-4.11287788003363,-5.84481467852361
"239",-3.54692637686652,-3.75162633265927,-5.41314821706923
"240",-4.28286070726368,-4.5134994349614,-5.48460124027413
"241",-3.65285287199357,-3.68270978091405,-5.60215784140688
"242",-3.88582632220649,-4.48643564349385,-5.05483859502157
"243",-4.38231044997761,-4.40452778546885,-5.77828879424818
"244",-4.00097381926009,-4.01799149053695,-5.46869818043219
"245",-4.05014818790357,-4.32060349318702,-5.7188950192862
"246",-4.4093407821757,-4.49230431493227,-5.38676399094171
"247",-4.00610652526013,-4.14709524163837,-5.63557289213622
"248",-4.16458063847909,-4.56126398900057,-5.87999538753264
"249",-4.24529203184106,-4.25771436195908,-5.43847667966001
"250",-4.16547204493239,-4.3249184502283,-5.60611500056878
"251",-3.6221403552321,-4.00221188179714,-5.16643766239572
"252",-4.29700773672254,-4.35645965657687,-5.88308553752825
"253",-3.91143804423391,-4.06264575848858,-5.68417134434555
"254",-4.26813691944073,-4.34894533403074,-5.55379213076429
"255",-3.82637523574504,-4.1161342461538,-5.69961287002409
"256",-3.89431411069874,-3.96747098313876,-5.95298319204686
"257",-4.33372963294088,-4.3504615668004,-5.7412320739573
"258",-4.27912980462407,-4.4250948371563,-5.59737441810746
"259",-4.27645805765974,-4.45970432675093,-5.90516285357115
"260",-3.67110692643667,-3.70651662418098,-5.4500200396352
"261",-4.40378206163114,-4.7511365623461,-6.22465474675624
"262",-4.12627582505521,-4.3009668835613,-5.18041601916592
"263",-3.6556443926451,-3.98619626387293,-5.3806820820837
"264",-4.24287395970832,-4.28192643074943,-5.4196812178983
"265",-3.56249172731297,-3.67698189860548,-5.74897563890213
"266",-4.04128188111456,-4.10851728628925,-5.65231583958844
"267",-4.45102394763921,-4.50796957095735,-5.8111216512389
"268",-4.1720104613448,-4.31637797415005,-5.5131676413672
"269",-4.00693970922331,-4.18434558439088,-5.73450866489774
"270",-4.23216472825723,-4.24883915897175,-5.7982835404764
"271",-3.76997545185561,-4.1891331953086,-5.25794369144708
"272",-3.33964929364213,-3.44931453438783,-5.74850283040212
"273",-4.28258997549989,-4.45369842234728,-5.60284929790238
"274",-3.81128297425531,-3.8231309969365,-5.14229794156844
"275",-3.63527119842478,-3.81995093081666,-5.49407261335779
"276",-3.8092984616481,-4.1267704944967,-5.41044468523936
"277",-4.18761176397916,-4.61624849814861,-5.61959738334936
"278",-4.02978091581606,-4.03232741725748,-5.55775591128574
"279",-4.03252150855058,-4.06282444486178,-5.43152256945583
"280",-3.8097910212808,-3.9158583480198,-5.19046553701776
"281",-3.59589863146273,-3.71808286962806,-5.47977878621996
"282",-4.02143655876916,-4.17733571064401,-5.27475765791652
"283",-3.9605846937654,-4.39633318459282,-5.41338607895111
"284",-4.08736993091469,-4.2645596327035,-5.59190249194069
"285",-4.05050369452102,-4.17216880584285,-5.82768473601158
"286",-4.10241664949789,-4.1031406775112,-5.57856127623313
"287",-3.68967232825012,-3.92258575845928,-5.6989079249374
"288",-3.01486960062746,-3.08689264818338,-5.55591260670313
"289",-4.1554450483957,-4.27795726937828,-5.98895053289905
"290",-4.41958114374119,-4.45640571449719,-5.75741407655991
"291",-3.79296974045693,-3.95164303226397,-5.62387498533357
"292",-4.01165792627486,-4.10643767065742,-5.68118513303015
"293",-3.64394152040268,-3.88010215251087,-5.54240851305305
"294",-4.06302463240296,-4.21610960797742,-5.78075979223152
"295",-4.0554451044592,-4.26428585374518,-5.43546448046191
"296",-3.72360935163269,-3.86365939152644,-5.62684241328479
"297",-4.04948477018335,-4.20867630616485,-5.74693128341028
"298",-3.87901516037787,-3.972102518743,-5.01200945129468
"299",-3.89967040698344,-3.92197438265518,-5.51479708884123
"300",-3.9793862377393,-4.1884649940153,-5.27350863804838
"301",-4.50653637143894,-5.05484631169009,-5.87776172433695
"302",-3.96448941138776,-4.19358978286332,-5.29226392968254
"303",-3.99951554260827,-4.06418809841435,-5.54921034378562
"304",-4.00883607047231,-4.09187068243628,-5.78690486310541
"305",-3.79919252196797,-4.20888036117119,-5.21452203198032
"306",-4.02749016937423,-4.07756228798154,-5.52684863470304
"307",-4.06905304785402,-4.46373131635806,-5.43282042505476
"308",-4.18577073496831,-4.33685907359665,-5.89858879937745
"309",-4.28947623198641,-4.43142162506075,-5.54949102100542
"310",-3.95345084255395,-3.95936099764894,-5.44061748818404
"311",-3.95895654087026,-4.0264986538208,-5.27968537638033
"312",-3.69555094209469,-3.99569049123045,-4.92119164668232
"313",-4.11513257197235,-4.14694337432291,-5.84561226691817
"314",-3.92866290613509,-3.98904064912591,-5.73951076799919
"315",-4.45071803985339,-4.9840464207498,-5.76774643690408
"316",-4.35306523688482,-4.37046075046723,-5.1600853041216
"317",-4.14420323220568,-4.25006260285986,-5.58690265151411
"318",-4.34359516434567,-4.67835636110806,-5.56352577680216
"319",-3.89846003222461,-4.24256525069881,-5.62217942851386
"320",-4.0590941839001,-4.26732204070374,-5.56300896607793
"321",-3.76945630827483,-3.78683141968275,-5.54600915123755
"322",-4.08105367241099,-4.37909287095122,-5.8806130156536
"323",-4.06182966617401,-4.25757860152973,-5.03637526290604
"324",-4.12593871115942,-4.30003892698192,-5.57877634723505
"325",-4.11359749254504,-4.49170550062106,-5.45145902600805
"326",-3.53397318150517,-3.57701402956813,-5.42124794677179
"327",-3.05094107477678,-3.0608007398145,-5.36210585637547
"328",-4.37262916913684,-4.45838406732506,-5.74686830941732
"329",-3.98518120492013,-4.39321417666897,-5.32087168606533
"330",-4.01543408251376,-4.34387824722402,-5.74576736704885
"331",-4.26285268023732,-4.31436114116958,-6.05162803738411
"332",-4.32478482021159,-4.47821915641809,-5.97449763247977
"333",-4.28125210057549,-4.38172788806845,-5.55824413178439
"334",-3.7587270096894,-3.9216285721322,-5.32702703055548
"335",-4.05206246584165,-4.16651182548448,-6.10889537065845
"336",-4.30810967455802,-4.39559350143387,-5.69812207564967
"337",-3.76564163726619,-3.97183439831602,-5.79597487860315
"338",-3.96408234114709,-3.97435974251154,-5.47584388104108
"339",-3.90850735537172,-3.98236917527531,-5.47822371927997
"340",-4.15116079407607,-4.39861680367148,-5.74195217497429
"341",-3.85958363780013,-4.0003074027566,-5.56219571715978
"342",-3.82913400609583,-3.98466593292453,-5.49573780399836
"343",-3.83838393066409,-3.97281129752418,-5.1550222070643
"344",-4.05794199357476,-4.13474046707398,-5.45465020702016
"345",-3.96843920227552,-4.25923408971123,-5.17644862514561
"346",-3.7899249716788,-3.90189080912634,-5.57312020988751
"347",-4.01954004762009,-4.13904443805999,-5.74860860253792
"348",-3.9485134363948,-4.09947580122416,-5.58981283112754
"349",-4.337277748492,-4.42793571266981,-5.83839213767941
"350",-3.97704121630324,-4.40088649293017,-5.68165487343078
"351",-4.21233890840861,-4.65136706039916,-5.68591518926576
"352",-3.67890193733074,-3.89562762563832,-5.78037199736235
"353",-3.99680816529872,-4.25242304970417,-5.78138779190092
"354",-4.08692236272358,-4.43657940935253,-5.69532044551702
"355",-4.00132880319337,-4.31486919276182,-5.5382577815977
"356",-4.24195743066181,-4.55617998725519,-5.90975769865091
"357",-4.35434040490688,-4.54005993264166,-5.46318276662496
"358",-3.74205993420367,-3.75839641203866,-5.38779911050874
"359",-3.83955240876961,-3.90924732564792,-5.44380187964364
"360",-3.88537064196807,-3.97777932246417,-5.7865493544777
"361",-3.89889450570547,-3.95988928887341,-5.04848134262438
"362",-4.09174020809574,-4.3256930231934,-5.72129174761875
"363",-4.12094935331455,-4.14006566535546,-5.65231535193265
"364",-3.94397385989671,-4.44497733245863,-5.28497488770754
"365",-4.09659759524167,-4.19242331581738,-5.8343608401063
"366",-4.06653888269718,-4.08051323947277,-5.48152540231702
"367",-4.38474961394001,-4.56512049482883,-5.24072522862342
"368",-4.01579973862569,-4.45880829380606,-5.09634973852135
"369",-4.19228567760192,-4.26182890421726,-6.15573511998592
"370",-4.17044504415603,-4.32147349651318,-5.28256361655318
"371",-3.88539134032817,-4.06024314280847,-5.51963038223462
"372",-4.18950859936626,-4.35651956733776,-5.32214489256724
"373",-4.29026183936652,-4.55006811602927,-5.75281316338808
"374",-4.33195796960387,-4.35805007881659,-5.82457806882648
"375",-3.8187614134897,-3.87292235021854,-5.04529009272822
"376",-4.07272353479798,-4.20121416045534,-5.48540379479742
"377",-4.08074638039413,-4.22039308340036,-5.81525607012942
"378",-4.06858366665361,-4.24314300037261,-5.49413783824017
"379",-4.20113550642676,-4.40547952233069,-5.04024851551068
"380",-4.2234480819254,-4.22678245838176,-5.27426462222828
"381",-4.02225701160267,-4.18199287603013,-5.57395991703273
"382",-3.75524061670957,-3.92749405525168,-5.12704718657357
"383",-4.1032704139147,-4.11731751458439,-5.34412118892494
"384",-3.96875685176594,-4.29129375782479,-5.51107481439488
"385",-4.23408920421639,-4.29856919519234,-5.9455417468494
"386",-4.01578408463529,-4.25695290675727,-5.75620346423268
"387",-3.70521246354873,-3.99090864996921,-5.12599672522278
"388",-4.02122174127674,-4.06636590369786,-5.23727974995677
"389",-3.80779917364508,-3.92488163153547,-5.50088087890167
"390",-3.70941107978037,-4.10580626025176,-5.1290542784888
"391",-3.94401042520075,-3.94448625059471,-5.85126584306133
"392",-4.27824799564917,-4.38189562631552,-5.3103784284478
"393",-4.02609481631435,-4.3901292434535,-5.76398526887486
"394",-3.92241209483031,-3.95856091484081,-5.42323114942292
"395",-4.18324771215615,-4.27256318955532,-5.91241955213272
"396",-3.74772957836699,-4.0109517815737,-5.66955292781677
"397",-4.05148786868784,-4.21090186356159,-5.44646174851464
"398",-3.73330106991694,-3.74489918764952,-5.6624646765129
"399",-4.2970397226906,-4.29776771124407,-5.85418395885009
"400",-4.00752248680443,-4.22500421958974,-5.66790165243317
"401",-3.98186528746342,-4.26077476153612,-5.59233310226743
"402",-4.08128619955992,-4.21963264737598,-5.58332980512665
"403",-4.22809989457518,-4.39527028693698,-5.74480858572204
"404",-4.12992934086453,-4.4583095650782,-5.44593462679988
"405",-3.99740539172926,-4.45835347428018,-4.6832387795474
"406",-4.25811332642482,-4.25838143082436,-5.80268606347361
"407",-4.05328171409097,-4.06283330670953,-5.42750238848958
"408",-4.12321437581652,-4.33840658252751,-4.88360245260215
"409",-3.83733108326886,-4.20293329657112,-5.74795576576188
"410",-3.77219432101896,-3.86307611837462,-5.73054787096195
"411",-3.89918032436282,-3.9060666238481,-5.46792665519185
"412",-4.01971041006771,-4.10882572979728,-5.81041849369901
"413",-4.16323314864716,-4.27675722364428,-5.70076247519026
"414",-3.91200149958614,-3.91924862770289,-5.22298563194001
"415",-4.13108771021251,-4.40991637521122,-5.63948878557224
"416",-3.96705773352234,-4.03630972904762,-5.45595126603197
"417",-3.87249967660061,-3.90135798059808,-5.0947348452182
"418",-3.97619489303663,-4.37222695682247,-5.54771678437361
"419",-4.03763447758435,-4.19025831371868,-5.79999834008137
"420",-4.43619060214635,-4.79483684670184,-6.1202984983353
"421",-3.8134885911686,-3.96936657132287,-5.69171602485685
"422",-4.12258478363202,-4.17770439988086,-5.53337897416728
"423",-3.95713870505299,-3.98247384754977,-5.6963622560644
"424",-4.41172507040768,-4.7305411117269,-5.87431629607207
"425",-3.96607346109577,-3.98921525497543,-5.3934670753143
"426",-4.20658243023387,-4.67850305891956,-5.51368558103873
"427",-4.34777572932267,-4.46533365398717,-5.53666813827983
"428",-4.14818311952659,-4.36677297342691,-5.2750133434613
"429",-3.84579983549594,-4.06868786260426,-5.71662325844562
"430",-4.20232898942047,-4.20683842409434,-5.92137875964948
"431",-3.87107289600307,-4.08851548072713,-5.24358458473945
"432",-4.13043119721653,-4.34688981161268,-5.09654991004941
"433",-4.11180314177038,-4.50587579033608,-5.84599722862715
"434",-3.70177581867351,-4.00364903445273,-5.32431878062208
"435",-4.055763988746,-4.33776680139238,-5.03063183178051
"436",-3.62653168593411,-3.68370712021112,-5.54711699446537
"437",-3.87886453752271,-3.90194595384825,-5.0772044535153
"438",-4.17173688669723,-4.594778242183,-5.44389432610842
"439",-3.71517298678908,-3.79462633652763,-4.95038494129118
"440",-4.07465589784774,-4.13824340910546,-5.44544389326961
"441",-4.11284618357051,-4.5126956625531,-5.72163704000643
"442",-3.93694629764094,-4.19978840642013,-5.41055264839635
"443",-4.13755708966327,-4.14583262599709,-5.59376365310529
"444",-4.10661348702195,-4.17512874960404,-5.06172078538138
"445",-4.30591098980665,-4.80897606721249,-5.66998574735842
"446",-3.95260825306187,-4.18478102048824,-6.17997447733266
"447",-3.92792689101486,-4.05118889191839,-5.49510455479961
"448",-4.12243463020998,-4.6590936985051,-5.17748382467951
"449",-3.8710190886551,-4.21245652084637,-5.72614291725346
"450",-4.25618630834748,-4.32307708569278,-5.46230851050093
"451",-4.03531832541414,-4.59994829501604,-5.71154551790079
"452",-4.29556556970493,-4.44538959320027,-5.30055589341296
"453",-4.1951259301413,-4.27776687506982,-5.90530002146796
"454",-4.08884055565494,-4.30001166242467,-5.43783679368945
"455",-4.11923098608785,-4.38804958585672,-5.82946527876987
"456",-4.4724650387232,-4.67860530398682,-5.82429614834438
"457",-3.79279219458529,-3.80617331512125,-5.36807323573013
"458",-4.0863946759146,-4.35559573714341,-5.40533571822979
"459",-3.83779666736447,-3.85980310397487,-5.58553467995152
"460",-4.09404988195719,-4.19244661475468,-5.77273124115346
"461",-3.65673375290232,-3.69399105064165,-5.51529325573587
"462",-4.04962831472266,-4.10712825747685,-5.19685791120548
"463",-3.78012301094683,-3.97218082020902,-5.27287336168007
"464",-3.74058482517565,-3.77682620585975,-5.35400579962668
"465",-3.79961981312382,-3.8097206451849,-5.12012128895301
