Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9)
1,15:23:21:529,-1.60992E-05,-2.79206E-05,-0.000117426,2.42463E-05,2.6694E-05,-7.44883E-05,-0.000207547,,-2.7904510572312069e+000,-7.7750582168663005e+000
2,15:23:22:056,5.51075E-05,7.3035E-06,-3.30648E-05,2.16296E-05,4.84992E-05,-4.71393E-05,-9.25768E-05,,-9.7196015864716834e-001,-1.9088298265100703e+000
3,15:23:22:584,8.42067E-05,6.34743E-05,1.89262E-05,-0.000129886,2.48183E-05,2.08858E-05,-8.6176E-05,,8.4154944574008972e-001,-3.4722737960230083e+000
4,15:23:23:111,3.16868E-05,-2.36367E-05,3.42877E-05,1.9013E-05,9.09388E-05,3.44447E-05,-6.67362E-05,,3.7876786894326953e-001,-7.3385865283077945e-001
5,15:23:23:638,-1.3497E-05,-2.91106E-05,-7.70187E-05,1.73479E-05,-8.88891E-05,-5.32169E-05,-0.000102534,,5.9868923670109386e-001,1.1534995930922460e+000
6,15:23:24:164,9.74554E-05,-3.74405E-05,-3.61369E-05,-1.76192E-05,0.00014487,1.52753E-05,-7.85898E-05,,1.0544162373827082e-001,-5.4248447696866919e-001
7,15:23:24:690,-3.26581E-05,1.11539E-06,5.31945E-05,-1.91987E-06,-4.03599E-05,0.000111126,9.12999E-06,,-2.7533706583505126e+000,-2.2621422369213237e-001
8,15:23:25:217,7.92384E-05,-2.53027E-05,-1.84131E-05,-2.45174E-05,-9.6391E-05,8.49602E-06,-1.52901E-05,,-8.8141257628754424e-002,1.5862553994460413e-001
9,15:23:25:745,2.52994E-05,2.70581E-05,-3.07016E-05,-2.92747E-05,-0.000102955,1.13012E-05,-2.00318E-05,,-1.0976873804766625e-001,1.9456796461430897e-001
10,15:23:26:272,-8.06775E-05,-1.50265E-06,-2.34316E-06,1.17246E-06,3.95895E-05,1.87819E-05,4.62527E-06,,4.7441587191089768e-001,1.1683068988398640e-001
11,15:23:26:798,-1.3497E-05,-7.67088E-05,-5.81141E-05,3.0669E-05,6.76492E-06,-6.0697E-05,-7.78786E-05,,X-8.9723248418268646e+000,-1.1512120386853706e+001
12,15:23:27:325,-2.84001E-05,1.68238E-05,0.000131189,9.97375E-06,1.63777E-05,9.28901E-05,-1.69497E-05,,5.6717355842746082e+000,-1.0349219966167924e+000
