Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9)
1,20:18:31:532,3.22E-05,-3.54E-05,-4.29E-05,2.09E-05,4.98E-06,-4.55E-05,-0.000332545,,-9.13029748,
2,20:18:32:059,5.88E-06,1.43E-05,7.65E-05,3.64E-05,-0.000126163,5.20E-05,-0.000243161,,-0.412153356,1.927351596
3,20:18:32:587,1.70E-05,3.32E-05,3.84E-05,-7.62E-06,8.57E-05,1.81E-05,-0.000135273,,0.211220371,-1.578543871
4,20:18:33:112,-8.17E-05,2.91E-05,1.36E-05,2.45E-05,-3.84E-05,-2.33E-05,-0.000302435,0.630228409,0.605816645,7.871316741
5,20:18:33:640,8.90E-05,-2.78E-05,0.000102783,3.79E-06,2.56E-05,-9.04E-05,-0.000296508,,-3.525954935,-11.56938092
6,20:18:34:167,0.000154778,2.70E-05,6.85E-05,2.07E-05,-2.90E-05,-3.82E-05,-0.000201904,1.297955256,1.316825617,6.95312765
7,20:18:34:694,4.75E-05,-2.57E-06,-1.78E-05,0.000114649,-7.69E-06,-1.14E-05,-0.000290344,,1.476988668,37.76676242
8,20:18:35:220,1.44E-05,-1.73E-05,-2.00E-06,1.18E-06,0.000100008,-6.86E-05,-0.000185306,,-0.68620873,-1.852909844
9,20:18:35:746,1.63E-05,2.10E-05,-4.17E-05,5.83E-05,-3.23E-06,-7.61E-05,-0.000219451,1.886143395,23.56220784,67.94066954
10,20:18:36:273,2.10E-05,-5.02E-05,-6.70E-05,2.37E-06,-9.03E-05,-7.87E-05,-0.000201193,,0.871582213,2.228784406
11,20:18:36:801,6.10E-05,5.65E-05,6.75E-05,3.11E-05,-1.14E-05,-3.64E-06,-0.000159223,0.371982871,0.318168831,13.91602879
12,20:18:37:327,-0.00012027,-1.73E-05,6.78E-05,-3.11E-06,-6.92E-05,-9.02E-06,-0.000250037,0.199056527,0.130387754,3.615546395
13,20:18:37:854,-5.31E-05,-3.28E-06,1.38E-05,-6.47E-05,-8.51E-05,1.04E-05,-0.000233914,-0.384116938,-0.122031139,2.748403197
14,20:18:38:381,-1.14E-05,0.000193438,5.19E-05,-4.95E-05,-4.40E-06,-1.18E-05,-0.000260233,-0.296466313,2.684984005,59.10165541
15,20:18:38:907,1.30E-05,-4.14E-05,5.93E-05,-7.62E-06,2.19E-05,6.30E-05,-0.000226327,,2.879431923,-10.34652809
16,20:18:39:434,0.000135839,4.41E-05,4.15E-06,6.80E-05,-5.18E-05,2.16E-05,-0.000116777,,-0.417165623,2.254593378
17,20:18:39:960,-2.18E-05,1.70E-05,-2.24E-06,2.76E-05,-5.98E-05,-0.000141789,-0.000261418,,2.372173281,4.373593615
18,20:18:40:486,-4.64E-05,2.65E-05,5.64E-05,-1.05E-05,-0.000106692,-2.96E-05,-0.000257624,0.487556343,0.277327131,2.414652021
19,20:18:41:013,2.81E-06,-1.16E-05,6.21E-05,1.05E-05,-0.000112322,9.20E-05,-0.000310733,,-0.818862091,2.766440718
20,20:18:41:541,-1.45E-05,3.77E-05,-5.83E-07,7.01E-07,5.69E-06,2.07E-05,-0.00029959,,3.635880936,-52.69300442
21,20:18:42:067,-2.32E-05,-5.50E-05,3.80E-05,7.94E-05,-2.55E-05,2.14E-05,-0.000348192,,-0.83755865,13.64459327
22,20:18:42:595,-0.00010962,-3.33E-05,7.84E-05,-8.54E-05,-2.48E-05,-6.40E-05,-0.000309548,,2.57714285,12.47429419
23,20:18:43:121,1.51E-05,-2.02E-05,1.76E-05,-2.67E-05,8.76E-05,-5.30E-05,-0.000235811,,-0.604813243,-2.692760914
24,20:18:43:648,-4.76E-05,6.53E-05,-3.75E-05,-2.31E-05,9.93E-07,5.90E-05,-0.000230358,,,
25,20:18:44:174,-2.16E-05,-5.66E-06,-1.10E-07,5.26E-05,6.15E-06,-6.91E-06,-0.000230832,,-1.123213966,-37.50421174
26,20:18:44:700,1.06E-05,-3.04E-05,3.96E-05,5.26E-05,-0.000125225,3.42E-05,-0.000259284,-0.480097515,-0.273357718,2.070545372
27,20:18:45:227,-4.05E-05,7.05E-05,-6.26E-05,-7.27E-07,-2.95E-05,-4.81E-05,-0.000289632,0.932371121,1.628617556,9.815665544
28,20:18:45:755,-2.37E-05,-8.78E-05,-1.17E-05,-4.77E-06,-1.66E-05,-9.88E-05,-0.000348667,,5.949453902,20.99983605
29,20:18:46:282,7.62E-05,-3.69E-05,-0.000157859,1.19E-05,0.000110567,4.48E-05,-0.000303621,,0.404743117,-2.746024345
30,20:18:46:809,-2.04E-05,4.32E-05,-3.30E-05,3.66E-05,-0.000133436,-1.32E-05,-0.000305517,0.235161,0.099111094,2.289622871
31,20:18:47:335,4.35E-05,3.32E-05,6.00E-07,5.90E-05,-4.40E-06,-5.11E-05,-0.000311682,1.116040278,11.60417809,70.78632855
32,20:18:47:862,2.27E-05,-3.35E-05,-9.21E-05,7.60E-06,-0.000135782,-3.80E-05,-0.000368581,0.526272795,0.279891594,2.714513321
33,20:18:48:388,-9.27E-06,-1.61E-05,3.49E-05,6.30E-05,-5.86E-05,-3.68E-07,-0.000332308,,0.006273099,5.670895322
34,20:18:48:916,-3.13E-05,-5.16E-05,-1.93E-05,0.000134157,2.09E-05,1.34E-05,-0.000291766,,0.641236845,-13.9359986
35,20:18:49:443,7.29E-05,-1.84E-07,4.13E-05,-3.90E-05,-1.66E-05,-5.95E-05,-0.000202616,1.860558602,3.584231225,12.20334302
36,20:18:49:970,8.01E-06,6.41E-05,3.51E-05,-5.25E-06,-3.58E-05,8.78E-05,-0.000248615,,-2.44877525,6.936459156
37,20:18:50:496,7.03E-05,-4.50E-05,8.22E-05,-9.49E-05,-6.42E-05,-9.72E-06,-0.000343688,,0.151307937,5.350942005
38,20:18:51:023,-1.31E-05,1.05E-05,-1.43E-05,2.88E-05,-6.42E-05,-0.000103222,-0.000265923,,1.607079256,4.140203503
39,20:18:51:549,-9.50E-06,5.03E-05,4.41E-05,7.60E-06,-2.53E-06,-3.61E-05,-0.000372374,0.171904152,14.30386268,
40,20:18:52:077,-4.19E-05,-3.76E-05,0.000123363,-7.26E-05,-8.39E-06,-6.44E-05,-0.000340369,,7.676540058,40.56033517
41,20:18:52:604,-2.89E-05,-7.04E-05,2.02E-06,5.09E-05,-1.24E-05,-1.60E-05,-0.000295085,,1.294825664,23.83530956
42,20:18:53:131,-9.98E-06,-4.54E-05,7.20E-05,-2.52E-05,4.96E-05,2.89E-05,-0.000342503,,0.582198433,-6.910733959
43,20:18:53:657,2.58E-05,7.44E-06,6.61E-05,7.73E-05,-5.58E-05,-6.86E-05,-0.000365499,1.718298423,1.230228905,6.55208895
44,20:18:54:184,-0.000101573,-4.04E-05,4.86E-05,1.21E-05,-8.25E-05,3.94E-05,-0.000405801,,-0.477100659,4.917098059
45,20:18:54:710,-3.36E-05,-2.14E-05,3.20E-06,8.25E-05,-3.56E-05,-1.77E-06,-0.000440175,,0.049715528,12.36198587
46,20:18:55:236,4.71E-05,-1.09E-05,-1.64E-05,-2.50E-05,9.93E-07,-5.11E-05,-0.000292715,,,
47,20:18:55:763,1.32E-05,4.27E-05,4.60E-05,-1.33E-05,4.98E-06,6.49E-05,-0.000311682,,13.01899738,-62.56518885
48,20:18:56:289,-7.98E-05,-5.85E-05,1.74E-05,5.30E-05,-5.91E-05,-5.69E-05,-0.000492088,,0.963950834,8.330869228
49,20:18:56:817,-3.51E-05,-8.02E-05,-0.000106303,-8.58E-06,2.89E-07,-0.00012122,-0.000348667,,,
50,20:18:57:344,0.000106958,1.32E-05,-1.55E-05,6.94E-05,1.53E-05,-7.26E-05,-0.00029556,,-4.743529669,-19.31113207
51,20:18:57:871,-4.17E-05,3.32E-05,6.30E-05,7.23E-05,-0.000122645,-0.000110935,-0.000309785,1.721680046,0.904527922,2.52587706
52,20:18:58:398,2.43E-05,-2.04E-05,2.50E-05,3.56E-06,-4.59E-05,-9.43E-05,-0.000347955,,2.053980679,7.575774353
53,20:18:58:924,-9.28E-05,4.08E-05,0.000117922,1.33E-05,2.75E-05,-5.30E-05,-0.000328752,,-1.925594315,-11.95213194
54,20:18:59:450,4.19E-05,-0.000115196,-5.40E-05,-4.35E-05,-5.67E-05,-3.40E-05,-0.000356964,,0.599946123,6.29322322
55,20:18:59:977,2.46E-05,-3.04E-06,-0.000120493,-7.23E-05,-9.45E-05,-3.43E-05,-0.000290818,0.423171372,0.362607557,3.077662042
56,20:19:00:505,-6.47E-05,-9.47E-05,2.31E-05,6.06E-05,-7.97E-05,1.97E-05,-0.000435196,,-0.247599625,5.459520553
57,20:19:01:031,3.14E-05,-5.66E-06,5.29E-05,7.73E-05,-8.96E-05,-6.86E-05,-0.000333256,1.39964422,0.766207844,3.720769443
58,20:19:01:558,-0.000112696,2.65E-05,-9.31E-05,-4.85E-05,-7.22E-06,-8.01E-05,-0.000333493,0.578950623,11.09368184,46.19937742
59,20:19:02:085,-0.00010323,3.01E-05,-9.68E-05,-1.43E-05,-2.60E-05,4.90E-05,-0.00041315,,-1.883930799,15.89774816
60,20:19:02:611,4.23E-06,-6.14E-06,4.10E-05,-2.21E-05,-9.57E-05,-5.04E-05,-0.000390629,0.704066396,0.526764195,4.083249148
61,20:19:03:138,-3.03E-05,-2.97E-05,-5.78E-05,-4.54E-05,-3.98E-05,-5.46E-05,-0.000360757,,1.370850542,9.0574037
62,20:19:03:664,7.78E-06,0.00012675,-0.000112689,4.03E-06,-0.000212724,-6.96E-05,-0.00038731,0.683116638,0.327004443,1.820716538
63,20:19:04:192,-5.33E-05,2.20E-06,-5.07E-05,3.76E-05,-9.66E-05,-2.89E-05,-0.000380197,0.535733922,0.299026834,3.935608581
64,20:19:04:719,2.43E-05,1.01E-05,-2.02E-05,9.50E-06,-8.84E-07,-0.000154177,-0.000382094,,,
