Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9),Column1
1,14:02:49:532,-2.14E-06,-1.52E-05,6.51E-05,-2.91E-05,-6.93E-05,-2.20E-05,-0.000229773,0.413359582,0.316899633,3.313705279,
2,14:02:50:059,-2.56E-05,4.50E-05,-1.90E-05,1.59E-05,0.000121447,-2.10E-06,-0.000289093,,-0.017279957,-2.380392523,
3,14:02:50:585,-0.000140821,-5.38E-05,9.12E-05,-5.62E-05,-6.98E-05,1.12E-05,-0.000247332,,-0.160862749,3.542955125,
4,14:02:51:112,2.74E-05,-1.78E-05,1.89E-05,-3.93E-05,-5.50E-05,-5.63E-05,-0.00021696,,1.023968955,3.942815552,
5,14:02:51:640,4.64E-05,5.46E-05,-1.70E-06,-2.01E-05,-8.86E-05,-2.08E-05,-0.000273907,0.31845976,0.23486661,3.092158001,
6,14:02:52:166,-3.10E-05,6.24E-05,9.12E-05,2.37E-05,6.35E-05,1.68E-05,-0.000209366,,0.26530897,-3.298159915,
7,14:02:52:693,-4.81E-05,-4.26E-06,2.10E-05,6.82E-06,-7.73E-05,-5.05E-05,-0.000286957,1.019552327,0.653145611,3.711376614,
8,14:02:53:219,-8.00E-05,1.31E-05,-1.46E-06,4.91E-06,-0.000124012,4.51E-05,-0.000285059,,-0.363965688,2.298643681,
9,14:02:53:746,0.000188876,-3.45E-05,0.000161518,-8.41E-06,2.24E-05,-1.85E-05,-0.000326818,,-0.823971816,-14.5825402,
10,14:02:54:273,-4.03E-06,-4.76E-05,-0.000154709,6.03E-05,-0.000223023,-3.86E-05,-0.000300007,0.481151537,0.172965552,1.345184022,
11,14:02:54:799,6.77E-05,-4.02E-06,-6.40E-05,-5.41E-05,-3.02E-05,-6.52E-05,-0.000266077,,2.163305158,8.824184752,
12,14:02:55:325,-5.54E-05,-7.45E-05,4.40E-05,-4.27E-05,-5.75E-06,-3.72E-05,-0.000315429,,,54.87211452,
13,14:02:55:851,-4.07E-05,1.46E-05,1.35E-05,-3.34E-05,-6.61E-05,-2.06E-05,-0.000321361,0.262349735,0.311420782,4.865039348,
14,14:02:56:378,-8.36E-05,-5.69E-06,5.18E-05,-4.05E-05,-1.87E-05,-1.26E-05,-0.0004044,,0.676545883,21.67797472,
15,14:02:56:906,5.66E-05,-1.33E-05,1.01E-05,-9.38E-05,-9.56E-05,-4.44E-05,-0.000411754,0.370065816,0.464552986,4.306127079,
16,14:02:57:431,9.44E-05,1.53E-05,-8.84E-05,2.42E-05,1.14E-05,-2.38E-05,-0.000402502,,-2.094902317,-35.36253392,
17,14:02:57:959,1.65E-06,1.93E-06,3.48E-05,-6.91E-05,9.96E-05,-5.75E-05,-0.000402264,,-0.577333049,-4.037941364,
18,14:02:58:485,-4.57E-05,-5.33E-05,-4.86E-05,-6.12E-05,-8.98E-05,-1.99E-05,-0.000388979,,0.221375916,4.333809214,
19,14:02:59:012,-7.57E-05,-7.97E-05,-8.06E-05,-2.70E-05,-8.60E-05,1.01E-05,-0.000354814,,-0.116983438,4.125742956,
20,14:02:59:539,-0.000106034,-2.45E-05,-2.37E-05,-5.17E-05,-7.47E-05,-2.17E-05,-0.000388979,,0.290887125,5.204623172,
21,14:03:00:065,-4.95E-05,3.81E-05,-2.97E-05,2.61E-05,-0.000140671,-6.13E-05,-0.00043097,0.734864779,0.435453822,3.063681308,
22,14:03:00:592,-1.52E-05,3.46E-05,-6.35E-05,-1.17E-05,-3.16E-05,-4.23E-05,-0.000411754,0.678126464,1.340777532,13.04625067,
23,14:03:01:118,-7.20E-05,1.55E-05,-2.94E-05,9.20E-06,-9.52E-05,-5.73E-05,-0.000358373,0.895283041,0.601997135,3.766354663,
24,14:03:01:646,-5.28E-05,7.86E-05,-7.66E-05,-1.15E-05,-0.000145833,-8.51E-05,-0.000457066,0.880372458,0.583576326,3.134182562,
25,14:03:02:173,5.92E-05,1.03E-05,-6.49E-05,-6.05E-05,3.46E-05,-6.24E-05,-0.00036383,,-1.803425299,-10.51090886,
26,14:03:02:699,1.68E-05,-8.19E-05,-6.00E-05,-2.53E-05,-7.87E-05,-4.44E-05,-0.000451847,,0.564244628,5.739481012,
27,14:03:03:226,1.54E-05,4.05E-05,-1.40E-05,-5.53E-05,-0.000136447,-3.09E-05,-0.000435952,0.26807672,0.22616176,3.195021613,
28,14:03:03:753,1.92E-05,2.91E-05,2.77E-05,-5.50E-05,-1.61E-05,-7.74E-05,-0.00044734,0.911365952,4.814652562,27.83072781,
29,14:03:04:279,-1.33E-05,-2.83E-05,-2.56E-05,2.06E-05,-0.000106649,-4.42E-05,-0.000635685,,0.414322934,5.960555036,
30,14:03:04:805,4.38E-05,6.22E-06,2.01E-05,-3.43E-05,-0.000125185,-0.000100068,-0.00049692,1.081335205,0.799362518,3.969487114,
31,14:03:05:332,-5.85E-05,-3.19E-05,-6.33E-05,1.82E-06,-2.76E-05,-2.52E-05,-0.000439985,,0.9156937,15.95773709,
32,14:03:05:860,-0.000136088,-3.30E-06,-1.59E-05,1.82E-06,-4.26E-05,-2.52E-05,-0.000547921,,0.592802678,12.86504393,
33,14:03:06:385,1.77E-05,-0.000130449,-2.49E-05,-0.000104265,-6.09E-05,-1.17E-05,-0.000494548,,0.191903648,8.12160983,
34,14:03:06:913,-2.41E-05,-2.59E-05,-1.95E-05,-7.98E-05,-0.000149352,-4.93E-05,-0.000494785,0.40280775,0.330299876,3.31287709,
35,14:03:07:440,1.37E-05,8.36E-06,-4.39E-05,3.95E-07,-2.15E-05,-9.21E-05,-0.000541991,,4.290423902,25.24320093,
36,14:03:07:966,1.58E-05,2.00E-05,-5.14E-05,-5.31E-06,4.81E-06,-0.000125786,-0.000473672,,,,
37,14:03:08:493,-3.09E-06,-6.95E-05,-2.49E-05,4.23E-05,-0.000124716,-3.97E-06,-0.000547447,,0.031826294,4.389559593,
38,14:03:09:019,9.38E-07,-2.38E-05,-3.79E-05,-9.07E-05,-8.51E-05,-4.89E-05,-0.000505697,,0.574446928,5.945075291,
39,14:03:09:546,-4.69E-05,-3.35E-05,-4.03E-05,7.63E-05,-7.99E-05,-2.50E-05,-0.000492887,,0.313063953,6.168853417,
40,14:03:10:072,-4.66E-05,-2.00E-05,-0.000123446,4.20E-06,-3.81E-05,-0.000106849,-0.000515186,,2.802107466,13.51077705,
41,14:03:10:600,-9.48E-06,1.36E-05,2.80E-06,-7.83E-05,-0.000110403,-1.43E-05,-0.000512339,,0.12914207,4.640635808,
42,14:03:11:125,-7.10E-05,2.98E-05,1.89E-05,3.30E-05,-3.25E-05,-6.01E-05,-0.000562628,1.026836327,1.848832264,17.31178378,
43,14:03:11:653,8.99E-05,-3.12E-05,1.16E-05,1.80E-05,-0.000101956,-7.48E-06,-0.000543414,,0.073332395,5.329901195,
44,14:03:12:180,-4.62E-05,7.38E-05,2.86E-05,-6.74E-06,-7.92E-05,-8.23E-05,-0.000573777,0.879693807,1.03918604,7.245077698,
45,14:03:12:706,1.77E-05,-6.64E-06,-2.80E-07,-5.08E-06,-0.000101956,-8.07E-05,-0.000536061,1.010516484,0.791147506,5.25777636,
46,14:03:13:233,4.31E-05,3.60E-05,1.94E-05,1.44E-05,-7.90E-05,-5.40E-05,-0.000543177,0.697972098,0.683976771,6.879077726,
47,14:03:13:759,-4.74E-06,6.41E-05,-3.04E-05,3.68E-05,-3.06E-05,-4.51E-05,-0.00052847,0.667645218,1.473501195,17.25759156,
48,14:03:14:286,0.000120466,-8.81E-05,2.67E-05,-5.24E-05,-6.42E-05,2.43E-05,-0.00048838,,-0.379015793,7.609781388,
49,14:03:14:812,-6.53E-05,-0.000101641,2.27E-05,6.72E-05,6.14E-05,-0.000142386,-0.000456117,,-2.320215763,-7.432538119,
50,14:03:15:340,5.25E-05,-4.00E-05,-1.64E-05,3.92E-05,-0.000112515,-4.07E-05,-0.000493599,,0.361550212,4.386977887,
51,14:03:15:865,1.68E-05,1.53E-05,1.96E-05,-2.91E-05,-1.87E-05,-3.51E-05,-0.000522065,0.443790987,1.879830997,27.98548927,
52,14:03:16:393,5.43E-06,4.96E-05,7.27E-05,-4.43E-05,-7.39E-06,2.34E-06,-0.000459438,,-0.317160298,,
53,14:03:16:920,3.71E-05,-5.38E-05,-7.37E-05,-4.27E-05,-9.77E-05,-0.000140048,-0.000613389,,1.432977694,6.276217431,
54,14:03:17:447,4.90E-05,-1.71E-05,-0.000118709,-1.01E-05,-0.000176334,-0.000113629,-0.00056761,1.047426759,0.644395038,3.21894386,
55,14:03:17:973,2.98E-05,-0.000127831,8.01E-06,6.22E-05,-7.87E-05,1.71E-05,-0.000531554,,-0.216898535,6.751937884,
56,14:03:18:500,3.76E-05,-3.24E-05,-9.22E-05,-7.86E-05,-9.37E-05,-4.07E-05,-0.000514474,,0.433947265,5.488115205,
57,14:03:19:026,-2.84E-05,-3.97E-05,-8.63E-05,-2.32E-05,-8.41E-05,1.19E-05,-0.000592041,,-0.141831056,7.037809028,
58,14:03:19:552,-2.86E-05,7.65E-06,-6.94E-05,-1.39E-05,-0.000118146,-3.69E-05,-0.000725101,0.320318647,0.312651975,6.13733538,
59,14:03:20:079,-1.49E-05,-1.66E-05,-9.17E-05,5.70E-05,-5.20E-05,-0.00015431,-0.000669602,,2.968858602,12.88289253,
60,14:03:20:607,-7.19E-07,-5.95E-05,4.31E-07,-2.96E-05,-0.000186188,-6.36E-05,-0.000558359,0.566283113,0.341556368,2.998893071,
61,14:03:21:133,-0.00011124,2.55E-05,-2.14E-05,-5.12E-05,-0.000111811,-0.000118539,-0.00059726,1.130578324,1.060173062,5.341705588,
62,14:03:21:660,-1.43E-06,7.69E-05,2.98E-05,-1.51E-05,-0.000134101,-1.00E-05,-0.000693794,,0.074934293,5.17366815,
63,14:03:22:187,1.16E-05,2.15E-05,-9.36E-05,-5.34E-05,-3.88E-05,-0.000165532,-0.000605087,,4.262384843,15.58079406,
64,14:03:22:713,2.89E-05,-7.16E-05,-9.34E-05,5.87E-06,-9.87E-05,-6.62E-05,-0.000669365,,0.670570238,6.783819073,
65,14:03:23:240,5.47E-05,-2.12E-05,0.000152278,3.75E-05,-5.43E-05,-5.94E-05,-0.000643512,,1.093193107,11.84612027,
66,14:03:23:766,5.91E-06,-1.40E-06,-1.59E-05,-8.95E-05,-4.07E-05,-0.000118772,-0.000696166,0.496562234,2.917332349,17.09948502,
67,14:03:24:294,-9.40E-05,1.62E-05,7.30E-06,-8.14E-05,8.80E-06,-1.15E-05,-0.000638531,,-1.301213988,,
68,14:03:24:821,-2.27E-05,4.79E-05,-2.37E-05,-2.13E-05,-3.91E-05,-8.35E-05,-0.000605324,0.92372751,2.136359866,15.49328659,
69,14:03:25:347,-3.74E-05,3.69E-05,-6.20E-06,-1.70E-05,-8.18E-05,-7.90E-05,-0.000678615,0.773817815,0.96635835,8.298411277,
70,14:03:25:874,-8.26E-05,6.77E-05,-4.07E-06,-6.98E-05,-0.000192054,1.47E-05,-0.000693557,,-0.076735009,3.611266886,
71,14:03:26:401,-2.18E-05,2.60E-05,8.14E-05,-0.000104027,-7.38E-05,-9.38E-05,-0.000547447,0.841715213,1.27042353,7.418128426,
72,14:03:26:927,6.32E-05,-5.64E-05,-7.25E-05,1.56E-05,-0.000141609,-5.47E-05,-0.000579944,,0.386336066,4.095381952,
73,14:03:27:453,-2.01E-05,6.77E-05,-1.73E-05,6.89E-05,-3.46E-05,-7.90E-05,-0.000614101,1.064393853,2.283203328,17.74260235,
74,14:03:27:980,-3.29E-05,-2.33E-05,-1.70E-06,-5.41E-05,-9.80E-05,-2.99E-05,-0.000620979,,0.305448955,6.338662038,
75,14:03:28:508,1.23E-05,2.41E-05,-9.52E-06,-5.65E-05,-9.44E-05,-0.000118071,-0.000575912,,1.250126584,6.097705211,
76,14:03:29:033,-3.67E-05,2.24E-05,9.67E-06,-2.77E-05,-5.85E-05,-0.000117837,-0.000691186,,2.012717982,11.8057857,
77,14:03:29:561,-1.37E-05,1.70E-06,2.13E-05,9.06E-05,-0.000159676,-0.000123215,-0.000791743,1.167097972,0.771655675,4.958440767,
78,14:03:30:088,-3.08E-05,-4.02E-05,8.01E-06,-5.03E-05,-6.77E-05,-0.00010077,-0.00073103,,1.488523493,10.79845111,
79,14:03:30:614,1.47E-05,2.84E-05,3.45E-05,-4.60E-06,-0.000120023,-0.000130696,-0.000700435,,1.088927026,5.835842901,
80,14:03:31:141,-2.49E-05,-8.38E-05,-1.83E-05,4.51E-05,0.000103376,3.98E-05,-0.000596074,,0.384592739,-5.766065552,
81,14:03:31:667,-4.21E-05,-9.16E-05,-3.94E-05,3.01E-06,-9.50E-06,3.95E-05,-0.00070257,,,,
82,14:03:32:194,-2.91E-05,-9.93E-05,-4.88E-05,7.72E-05,-0.000137151,-5.40E-05,-0.000622877,,0.393779213,4.541530092,
83,14:03:32:720,9.47E-05,-1.50E-05,-0.000110894,-1.55E-05,-9.73E-05,-4.79E-05,-0.00070589,0.560469941,0.492767786,7.257541882,
84,14:03:33:248,7.56E-06,-7.35E-06,-1.99E-05,4.35E-05,-6.54E-05,-9.84E-05,-0.000726761,,1.50619336,11.12085501,
85,14:03:33:773,-3.80E-06,-3.54E-06,-1.43E-05,-8.40E-05,-0.000108526,-8.91E-05,-0.000641378,0.731286487,0.820812081,5.909911364,
86,14:03:34:301,4.54E-05,6.69E-05,2.74E-05,9.43E-06,-7.83E-05,-1.96E-05,-0.000751189,,0.250912859,9.599022256,
87,14:03:34:828,1.11E-05,-3.62E-05,2.91E-05,-2.91E-05,-0.000110637,-0.000152907,-0.000818066,,1.382053201,7.394113413,
88,14:03:35:354,5.47E-05,4.77E-05,-7.89E-05,1.85E-05,-0.000112515,3.04E-05,-0.000677666,,-0.270224482,6.022920321,
