Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9),Column1
40,18:30:31:075,8.09E-05,3.88E-05,-0.000106909,1.11E-05,-0.000130433,3.32E-05,-0.000137551,-0.706078121,-0.254824777,1.054568299,
41,18:30:31:602,2.46E-05,3.38E-05,-1.98E-06,5.34E-05,1.10E-05,-4.27E-05,-0.000152242,,-3.884499503,-13.83887622,
42,18:30:32:128,5.06E-05,-1.83E-05,1.25E-05,-5.68E-07,2.34E-05,-7.34E-05,-0.000188971,,-3.130349265,-8.064210723,
43,18:30:32:656,7.07E-05,3.05E-05,-1.10E-05,2.92E-05,-5.42E-06,-1.42E-05,-0.000134707,0.771466468,2.623560088,24.86037835,
44,18:30:33:183,-4.64E-05,-1.88E-05,-1.45E-05,6.57E-06,3.23E-05,8.51E-05,-0.00010793,,2.631937143,-3.336626918,
45,18:30:33:710,-8.22E-05,-2.04E-05,-9.01E-05,-8.62E-05,-6.10E-05,-9.04E-05,-9.23E-05,3.334852686,1.482039301,1.512729471,
46,18:30:34:236,4.30E-05,-6.97E-05,-5.95E-05,7.17E-05,-6.59E-06,-6.59E-05,-0.000162432,,9.994053806,24.64308798,
47,18:30:34:763,4.92E-05,2.79E-05,-2.87E-05,-2.48E-05,7.46E-05,-9.35E-05,-0.000160062,,-1.253245496,-2.146438146,
48,18:30:35:289,-5.07E-05,9.31E-05,-1.12E-05,-1.48E-05,9.36E-06,-6.87E-05,-0.000188023,,-7.338253547,-20.08985318,
49,18:30:35:817,-0.000126191,-5.52E-05,-2.42E-05,-4.89E-05,-8.80E-05,-5.35E-05,-0.00017428,,0.607922699,1.980862696,
50,18:30:36:344,-7.27E-05,-5.69E-05,3.09E-05,-4.84E-05,-3.07E-06,3.08E-06,-0.00012665,,-1.003014217,41.21516749,
51,18:30:36:871,5.77E-05,2.31E-05,-0.000126329,5.60E-05,-0.000129026,-3.64E-05,-0.000109826,0.941129326,0.282287296,0.851189261,
52,18:30:37:397,4.68E-05,-0.000113544,1.25E-05,-6.28E-06,2.72E-05,2.01E-05,-0.000175701,,0.741060871,-6.462838959,
53,18:30:37:924,-4.74E-05,-4.49E-06,-7.99E-05,-2.29E-05,-4.72E-05,-3.70E-06,-0.000125939,0.032174644,0.07837252,2.66990231,
54,18:30:38:450,-3.61E-06,-4.62E-05,3.78E-05,-8.93E-05,-5.89E-06,2.83E-05,-0.000112432,,-4.811495233,19.09619761,
55,18:30:38:977,6.33E-06,5.75E-06,-7.54E-05,-4.50E-05,-7.86E-05,4.48E-06,-0.000136603,-0.22333285,-0.057057743,1.737954733,
56,18:30:39:505,2.05E-05,2.96E-05,4.30E-05,-6.04E-06,-3.08E-05,-1.33E-05,-0.000203899,0.358213711,0.431882151,6.630600124,
57,18:30:40:031,2.36E-05,-7.97E-05,-7.11E-05,-8.66E-06,-2.58E-05,-5.33E-05,-0.000185416,,2.062011238,7.179610131,
58,18:30:40:558,-7.87E-06,-0.000105687,7.90E-05,-2.51E-05,-6.24E-05,-1.33E-05,-0.000143001,,0.212780001,2.291095523,
59,18:30:41:085,-4.34E-05,9.08E-06,-5.77E-06,-6.27E-05,-6.41E-05,2.27E-05,-0.000121911,-0.91243983,-0.354651099,1.903140446,
60,18:30:41:611,-2.42E-05,8.36E-05,7.78E-05,9.74E-05,-7.70E-05,3.79E-05,-0.000125466,-0.884748647,-0.492645071,1.630312044,
61,18:30:42:138,6.54E-07,7.65E-06,-9.44E-05,3.49E-05,-0.000129261,5.31E-05,-0.000242757,-0.820534446,-0.410860019,1.878045731,
62,18:30:42:664,0.000110472,-8.21E-05,-2.26E-05,3.49E-05,2.09E-05,-6.74E-06,-0.000102479,,-0.323008447,-4.914381618,
63,18:30:43:192,9.98E-05,-6.97E-05,6.36E-05,1.33E-06,-4.04E-05,-9.95E-05,-0.000209822,,2.465641469,5.197739599,
64,18:30:43:717,-6.47E-05,-2.38E-05,-0.000114251,8.53E-05,6.78E-06,3.53E-05,-0.000205794,,5.213494753,-30.35823628,
65,18:30:44:245,-5.50E-05,-2.59E-06,0.000105797,-4.20E-05,5.39E-05,-0.000106545,-0.000184706,,-1.975691617,-3.425043139,
66,18:30:44:771,-1.88E-05,3.96E-05,4.35E-05,-3.03E-05,-1.53E-05,7.76E-06,-0.000209111,-0.452286595,-0.50800761,13.69409036,
67,18:30:45:298,2.69E-05,-2.31E-05,-5.67E-05,3.27E-05,6.03E-05,-2.54E-05,-0.000106271,,-0.422094742,-1.763495683,
68,18:30:45:824,8.04E-05,4.00E-05,5.37E-05,-4.89E-05,0.000105537,4.77E-05,-0.000115513,,0.452272723,-1.094530152,
69,18:30:46:351,3.36E-05,-5.07E-05,-1.03E-05,0.000125036,8.42E-06,-4.72E-05,-0.000245838,,-5.602166281,-29.19398848,
70,18:30:46:878,6.36E-05,-9.02E-06,-3.70E-05,1.25E-05,-9.31E-05,3.67E-05,-0.000128546,-0.96157815,-0.394497568,1.380114811,
71,18:30:47:404,0.000185507,1.65E-05,-2.22E-06,2.46E-05,0.000127119,-0.000147681,-0.00013921,,-1.161755245,-1.095111457,
72,18:30:47:930,1.49E-05,2.19E-05,6.77E-05,1.87E-05,-6.27E-05,-2.45E-05,-0.000118357,0.858659501,0.391075483,1.889154421,
73,18:30:48:457,9.46E-05,8.12E-05,2.81E-05,7.06E-05,-4.93E-07,5.89E-06,-0.00032663,1.151789067,-11.94920902,,
74,18:30:48:983,-1.45E-05,1.15E-05,-1.51E-06,2.92E-05,-0.000133013,-8.61E-06,-0.000149873,0.207393496,0.064698448,1.126752189,
75,18:30:49:510,6.55E-05,-5.09E-05,-2.95E-05,1.44E-05,9.45E-05,-9.98E-05,-0.000170251,,-1.055611468,-1.801395091,
76,18:30:50:038,3.14E-05,-3.95E-05,4.82E-05,4.49E-05,-5.19E-05,-8.67E-05,-0.000183521,,1.671336835,3.538695223,
77,18:30:50:565,2.05E-05,1.05E-05,1.48E-05,3.58E-05,-0.000105572,1.50E-05,-6.36E-05,-0.500000689,-0.142120442,0.602574893,
78,18:30:51:092,3.59E-05,4.10E-05,3.76E-05,8.36E-05,1.83E-05,9.17E-05,-5.58E-05,,5.01737855,-3.053450453,
79,18:30:51:618,-4.34E-05,-2.52E-05,2.64E-05,-1.70E-05,7.48E-05,-1.09E-05,-0.000120015,,-0.146289932,-1.604361806,
80,18:30:52:144,6.33E-06,2.10E-05,-7.54E-05,7.29E-05,-7.48E-05,3.63E-05,-0.000138499,-0.852693506,-0.484676326,1.850421782,
81,18:30:52:671,-7.66E-07,-7.38E-05,5.96E-05,-2.55E-05,-3.12E-05,3.08E-06,-0.000130442,,-0.098723376,4.178115096,
82,18:30:53:199,7.12E-05,-7.00E-05,4.65E-06,3.73E-05,-5.02E-05,-6.27E-06,-0.000202477,,0.124816081,4.031855765,
83,18:30:53:725,-5.30E-07,-5.26E-05,-3.87E-05,1.08E-05,-4.98E-05,-0.000101403,-0.000198449,,2.038241352,3.988905866,
84,18:30:54:252,-3.82E-05,-8.54E-06,-5.62E-07,3.39E-05,3.49E-05,5.97E-05,-0.000255078,,1.707937509,-7.30311549,
85,18:30:54:779,1.75E-05,5.50E-05,-3.64E-06,4.22E-05,-1.88E-05,-4.44E-05,-0.000174753,1.608397243,2.361531299,9.301031369,
86,18:30:55:305,1.86E-05,7.72E-05,-2.46E-06,-6.50E-05,-7.02E-05,-7.29E-05,-0.000260765,1.210264839,1.038922821,3.716918339,
87,18:30:55:832,3.50E-05,-1.69E-05,8.02E-05,-1.63E-05,-9.69E-05,-0.000114959,-0.000189208,2.47391682,1.186441017,1.95272221,
88,18:30:56:358,2.38E-05,1.36E-05,2.75E-06,7.15E-05,-1.43E-05,-3.81E-05,-0.00026882,1.96632993,2.655513197,18.75671968,
89,18:30:56:884,8.30E-05,-5.07E-05,6.77E-05,9.18E-06,0.001486599,0.001064457,0.013194787,0.675884632,0.716034914,8.875819727,
90,18:30:57:411,1.53E-05,-5.00E-05,-1.15E-05,8.39E-05,8.61E-05,-7.27E-05,0.000399555,-1.216698585,-0.844158059,4.642441599,
91,18:30:57:939,2.50E-05,-4.59E-05,0.00010627,3.83E-07,5.06E-05,-4.25E-05,-0.000142527,,-0.839191743,-2.814300412,
92,18:30:58:465,7.83E-05,3.84E-06,7.97E-06,-0.000119259,-3.73E-05,-1.98E-05,-0.000191577,-0.214384804,0.531261397,5.133536452,
93,18:30:58:992,-0.000103711,2.86E-05,2.10E-05,-2.63E-05,0.000122193,-6.10E-05,-0.000299621,,-0.498932882,-2.452040135,
94,18:30:59:519,2.20E-05,5.60E-05,3.50E-05,3.75E-05,-6.59E-06,-1.91E-05,-0.000145371,0.725480575,2.901482771,22.05468252,
95,18:31:00:046,-0.000114833,3.05E-05,3.64E-05,7.29E-05,-4.67E-05,-3.00E-06,-0.00018589,0.387432667,0.064143494,3.980438435,
96,18:31:00:572,1.36E-06,2.17E-05,3.52E-05,-8.18E-06,-6.29E-05,-4.90E-05,-0.000185179,1.238896291,0.779912457,2.944728222,
97,18:31:01:098,6.03E-05,-2.00E-05,-4.60E-05,6.27E-05,2.55E-05,3.00E-05,-0.000139447,,1.173051898,-5.45898676,
98,18:31:01:625,4.59E-05,1.72E-05,0.000129012,6.21E-07,1.52E-05,2.88E-05,-0.000231384,,1.891578176,-15.1993402,
99,18:31:02:153,1.96E-05,-5.68E-06,-2.42E-05,2.35E-05,-9.17E-06,1.38E-05,-0.000227593,,-1.508484918,24.81506783,
100,18:31:02:679,-3.51E-05,6.31E-05,1.77E-05,-1.06E-05,-2.39E-05,2.72E-05,-0.000204609,-0.774573065,-1.134067409,8.543568342,
101,18:31:03:206,3.76E-05,6.70E-06,2.22E-05,7.28E-06,-2.89E-05,-3.20E-05,-0.000287301,0.961889838,1.107584754,9.949924407,
102,18:31:03:733,-0.00010797,-1.40E-05,-5.72E-05,9.42E-06,-3.24E-05,-0.000106545,-0.000232095,,3.28913123,7.164962894,
103,18:31:04:259,-3.96E-05,1.22E-06,9.47E-05,4.58E-05,-0.000133717,1.34E-05,-0.000243231,-0.154869355,-0.099969892,1.819003236,
104,18:31:04:786,3.07E-05,3.77E-05,7.78E-05,6.13E-05,-2.63E-05,1.92E-05,-0.000131153,-0.401463543,-0.730635514,4.987833233,
105,18:31:05:312,6.31E-05,2.86E-05,4.78E-05,-0.000104037,3.96E-05,-4.60E-05,-0.000214324,,-1.161220319,-5.409662198,
106,18:31:05:840,2.76E-05,-9.02E-06,5.96E-05,3.34E-05,2.51E-05,1.21E-06,-0.000168356,,0.048338261,-6.714016943,
107,18:31:06:365,-8.34E-06,-6.43E-05,3.69E-05,2.01E-05,-1.81E-05,-3.62E-05,-0.000172147,,2.001040108,9.518807464,
108,18:31:06:893,-4.36E-05,5.07E-05,4.89E-05,-8.19E-05,1.48E-05,9.00E-05,-0.000201529,,6.102995999,-13.65912911,
109,18:31:07:420,-7.15E-05,-4.02E-05,1.53E-05,3.83E-07,-3.57E-05,2.48E-05,-0.000188023,,-0.695746907,5.270164568,
110,18:31:07:946,-5.80E-05,3.43E-05,9.51E-05,2.16E-05,-0.000101116,-3.00E-06,-0.000187786,0.097542502,0.029625001,1.857132813,
111,18:31:08:473,5.96E-05,-8.74E-05,-2.02E-05,6.57E-06,-7.65E-05,-5.89E-05,-0.000286116,,0.769551997,3.740624072,
112,18:31:09:000,-6.30E-05,7.45E-07,-1.97E-05,3.75E-05,-6.59E-06,-5.84E-05,-0.000279956,4.917373893,8.859265137,42.47311969,
113,18:31:09:526,5.06E-05,3.86E-05,4.44E-05,-2.47E-06,-0.000102289,-8.14E-06,-8.28E-05,0.253381099,0.079561341,0.80957648,
114,18:31:10:052,-1.73E-05,-6.88E-06,5.12E-06,7.01E-05,3.03E-06,1.48E-05,-0.000266451,,4.881439874,-88.05989752,
115,18:31:10:581,7.99E-05,-1.16E-05,-6.62E-05,1.75E-05,-0.000105103,-3.69E-05,-0.000184232,0.807118293,0.350987462,1.752863544,
116,18:31:11:107,2.55E-06,3.03E-08,-9.44E-05,1.58E-05,6.59E-05,-3.48E-05,-9.09E-05,,-0.527930946,-1.379051159,
117,18:31:11:634,-8.34E-06,4.98E-05,2.53E-05,-4.61E-06,-8.75E-05,-5.11E-05,-0.000200581,1.061602345,0.584471265,2.29202837,
118,18:31:12:160,9.60E-05,6.46E-06,-3.87E-05,-7.67E-05,6.66E-05,-0.000105143,-0.000240151,,-1.57883015,-3.606127781,
119,18:31:12:687,9.17E-06,-5.04E-05,6.20E-05,3.39E-05,-3.45E-05,-7.50E-05,-0.00026266,,2.173380173,7.61243614,
120,18:31:13:213,-9.76E-06,1.43E-05,6.77E-05,-8.41E-05,-5.89E-05,4.10E-05,-0.000145134,-1.530152064,-0.695306607,2.464164092,
121,18:31:13:740,3.24E-05,-4.46E-07,-4.56E-05,-2.65E-05,-2.63E-05,4.02E-06,-0.000332079,-0.647020599,-0.15277734,12.62921694,
122,18:31:14:266,1.86E-05,-2.54E-05,-2.31E-05,-2.10E-05,-7.18E-05,-3.74E-05,-0.000196079,0.894693141,0.520313195,2.730986403,
123,18:31:14:794,-8.58E-06,2.17E-06,6.13E-05,-3.53E-05,-2.96E-05,2.90E-05,-0.000140157,-1.603864433,-0.9814554,4.738512351,
124,18:31:15:321,4.85E-05,-2.43E-05,0.000148675,-1.41E-05,-0.000132544,-1.37E-05,-0.000211955,0.223137204,0.103726867,1.599126566,
125,18:31:15:848,-7.03E-05,2.19E-05,3.35E-05,7.58E-05,2.93E-05,-3.57E-05,-0.00017736,,-1.219254709,-6.053749019,
