Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9)
1,14:17:27:531,-6.21728E-05,8.23821E-07,-3.658E-05,-1.04637E-05,-0.000159907,-6.6852E-05,-0.000133258,1.328439783,4.1806770610485733e-001,8.3334521996402799e-001
2,14:17:28:056,1.09241E-05,-3.22582E-05,4.04659E-05,1.73672E-05,2.51691E-05,0.000119458,-7.87468E-05,,4.7462012488931737e+000,-3.1287062639779482e+000
3,14:17:28:584,-0.000105461,-2.74982E-05,9.78998E-05,4.4961E-05,-7.51745E-05,-5.91385E-05,-8.94122E-05,,7.8668266125383080e-001,1.1893953047135237e+000
4,14:17:29:111,-3.85175E-05,6.08026E-05,4.1884E-05,-5.7063E-06,-1.25782E-05,1.26234E-05,-0.000100078,,-1.0035925144922337e+000,7.9564483862106261e+000
5,14:17:29:638,3.35395E-06,1.32001E-05,7.4264E-05,-1.68861E-05,2.70448E-05,-7.52666E-05,-7.13994E-05,,-2.7830360850359521e+000,-2.6400423730163207e+000
6,14:17:30:164,2.67743E-05,3.70011E-05,6.90533E-06,-3.52016E-05,1.08672E-05,-8.88237E-06,0.000143594,,-8.1735758620606869e-001,1.3213576082695353e+001
7,14:17:30:690,3.48178E-05,-6.34351E-05,5.2756E-05,2.99746E-05,6.01042E-05,-0.000115002,-0.000127096,,-1.9133689157063329e+000,-2.1145905750329792e+000
8,14:17:31:217,-9.52894E-05,-5.72474E-05,-7.15559E-05,-3.42501E-05,-5.31017E-06,-6.07731E-06,-7.16364E-05,,1.1444656175509713e+000,1.3490423997025800e+001
9,14:17:31:745,-8.5118E-05,-7.03028E-06,-1.98005E-05,-2.4022E-05,7.06553E-05,-2.57126E-05,-0.000125911,,-3.6391604560208701e-001,-1.7820426497721569e+000
10,14:17:32:271,-3.94637E-05,2.55765E-05,3.90479E-05,9.54047E-07,-0.000141049,3.41296E-05,-0.000157905,,-2.4196986957336911e-001,1.1195084288827288e+000
