Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9),Column1
1,17:48:55:532,4.88E-06,4.96E-05,1.53E-05,-8.07E-05,-2.17E-05,-5.88E-05,-0.000109859,2.170690534,2.710311878,5.06712506,
2,17:48:56:059,1.91E-05,2.01E-05,6.36E-05,6.49E-05,5.62E-05,3.75E-05,-7.29E-05,,0.668102509,-1.296806752,
3,17:48:56:585,-6.48E-06,7.44E-06,0.00013465,2.21E-05,4.59E-06,-0.000118599,-0.000155367,,-25.82785566,-33.8349195,
4,17:48:57:111,3.14E-05,9.58E-06,0.000104325,-8.45E-05,9.66E-05,-9.80E-05,-0.000142094,,-1.015317635,-1.471691372,
5,17:48:57:638,0.000102156,0.000137936,3.49E-05,-0.000104708,-7.61E-06,9.53E-05,-0.000156315,,-12.52817012,20.55112127,
6,17:48:58:166,-9.07E-05,5.84E-05,1.45E-05,0.000141259,-3.36E-05,-6.69E-05,-0.00011057,,1.989741446,3.286477674,
7,17:48:58:693,-6.73E-05,-2.49E-05,4.91E-05,2.94E-05,5.32E-05,-1.04E-05,-0.000136643,,-0.195182284,-2.570829735,
8,17:48:59:220,-4.51E-05,-8.28E-06,-3.09E-05,-5.29E-05,-0.000116209,9.96E-06,-0.00014636,-0.29077559,-0.085735098,1.259454919,
9,17:48:59:746,3.22E-06,-6.07E-05,4.96E-05,-2.34E-05,-5.15E-05,-6.04E-05,-4.89E-05,,1.173428788,0.950836858,
10,17:49:00:273,1.45E-07,-2.80E-06,4.65E-05,4.00E-06,-8.27E-05,6.00E-05,-0.000110807,,-0.725677828,1.340384643,
11,17:49:00:799,2.27E-06,2.62E-05,-2.34E-05,-9.64E-05,-1.68E-05,1.53E-05,-0.000258227,-1.225641515,-0.915558475,15.412304,
12,17:49:01:327,-6.19E-05,5.29E-05,-4.02E-05,-7.35E-05,-8.78E-05,-3.30E-05,-9.90E-05,0.904123427,0.376287641,1.126692059,
13,17:49:01:854,8.43E-06,-1.16E-05,2.83E-05,4.09E-05,-2.57E-05,-6.27E-05,-0.000159396,,2.444058559,6.209823617,
14,17:49:02:380,-4.03E-05,-4.54E-05,4.18E-05,-1.38E-05,-3.83E-05,1.31E-06,-0.000204429,,-0.034274846,5.332648067,
15,17:49:02:907,5.51E-05,4.82E-06,6.74E-05,-5.69E-05,-9.58E-05,-7.34E-06,-0.000141146,0.089282013,0.076566059,1.473291232,
16,17:49:03:434,2.33E-05,7.58E-05,0.000103851,-2.03E-05,0.00010922,-4.80E-05,-5.34E-05,,-0.439560973,-0.489327559,
17,17:49:03:960,-3.89E-05,1.72E-05,-0.000104132,4.85E-05,0.000101947,6.65E-05,-7.00E-05,,0.652651192,-0.686993477,
18,17:49:04:486,2.22E-05,-3.59E-05,2.69E-05,9.27E-05,7.99E-05,-6.17E-06,-0.000227181,,-0.077182155,-2.843494148,
19,17:49:05:013,-3.06E-05,3.48E-05,-3.17E-05,0.00010248,-1.93E-05,-2.19E-06,-0.00014162,0.855384705,0.113396181,7.32456291,
20,17:49:05:539,-5.29E-05,8.63E-06,3.70E-05,-4.17E-05,-0.000142479,-1.86E-05,-0.000179069,0.294989829,0.130235246,1.256809352,
21,17:49:06:067,8.16E-05,-8.52E-06,2.57E-05,4.00E-06,-6.39E-05,5.76E-06,-0.000215094,-0.12998873,-0.090065355,3.36593887,
22,17:49:06:594,4.16E-05,1.41E-05,-6.17E-05,3.76E-06,-9.60E-05,-3.83E-06,-0.000188786,0.088786032,0.039868137,1.965748455,
23,17:49:07:121,1.03E-05,2.08E-05,1.31E-05,-3.72E-05,-1.82E-05,-4.59E-05,-0.000172432,1.40940513,2.527527145,9.494083309,
24,17:49:07:647,3.21E-05,-1.83E-05,4.59E-06,-1.95E-06,-1.35E-05,-2.07E-05,-0.000162241,,1.533682238,12.04407728,
25,17:49:08:174,-3.01E-05,-3.52E-05,-7.67E-05,-4.36E-05,2.81E-05,-4.29E-05,-0.000192341,,-1.528201898,-6.8570364,
26,17:49:08:700,-3.39E-05,-2.80E-06,-2.75E-06,-5.12E-05,-5.26E-05,-2.04E-05,-0.00017338,0.386517561,0.387999559,3.293453094,
27,17:49:09:226,-8.02E-07,-2.11E-05,-1.32E-05,2.40E-05,4.59E-05,2.73E-05,-0.000191393,,0.594217509,-4.171707328,
28,17:49:09:753,-1.03E-05,-1.35E-05,4.94E-05,-2.74E-05,6.28E-05,-7.00E-05,-0.000102274,,-1.114894329,-1.629356307,
29,17:49:10:279,-8.15E-05,-8.69E-05,3.30E-05,4.75E-05,5.22E-05,1.78E-06,-0.000190682,,0.034119274,-3.652018856,
30,17:49:10:806,-4.72E-05,5.82E-05,7.87E-05,-5.69E-05,-4.30E-05,9.73E-06,-0.000169588,-0.494292989,-0.22612618,3.94146519,
31,17:49:11:334,-1.26E-05,9.10E-05,6.97E-05,1.78E-05,-3.34E-05,-3.49E-05,-0.000163426,1.099721499,1.045179717,4.891622881,
32,17:49:11:861,3.09E-05,-2.71E-05,-3.64E-05,-5.04E-06,-0.000125357,8.85E-05,-0.000227892,,-0.706077027,1.817945512,
33,17:49:12:387,5.62E-05,-2.26E-05,-7.93E-05,-4.24E-05,-9.65E-05,5.93E-05,-0.000175987,-1.429998893,-0.614349873,1.823574604,
34,17:49:12:913,-1.95E-05,-9.30E-05,-7.33E-05,-2.34E-05,-0.0001209,-6.41E-05,-0.000215568,,0.530499954,1.783019909,
35,17:49:13:440,1.17E-05,-4.07E-05,-6.50E-05,1.37E-05,4.52E-05,2.25E-06,-0.000169351,,0.049783856,-3.748771727,
36,17:49:13:967,-8.08E-05,-1.95E-05,0.000101956,6.35E-05,9.75E-06,-3.13E-06,-0.000222204,,-0.320686827,-22.783851,
37,17:49:14:493,-1.24E-05,-6.11E-05,1.31E-05,-0.000158936,-0.000123246,-3.28E-05,-0.00014802,0.525442542,0.266255828,1.201010505,
38,17:49:15:019,2.52E-05,5.06E-06,9.09E-06,-6.95E-06,-8.60E-05,2.31E-05,-0.00024306,-0.477258337,-0.26822217,2.827861507,
39,17:49:15:546,-5.03E-05,-7.80E-06,-3.43E-05,-1.24E-05,1.19E-05,-5.53E-05,-0.000216279,,-4.657412535,-18.22995479,
40,17:49:16:072,-3.64E-06,-4.09E-05,4.27E-05,-3.60E-05,5.62E-05,-1.08E-05,-0.000157974,,-0.192909629,-2.810888338,
41,17:49:16:601,-2.04E-05,-5.38E-05,0.000168292,6.73E-05,-7.14E-06,-2.93E-05,-0.000258227,,4.106564453,36.18145213,
42,17:49:17:128,-2.70E-06,6.10E-05,-3.70E-06,-4.45E-05,-2.36E-05,-3.26E-05,-0.000276713,0.401908544,1.383062109,11.74637932,
43,17:49:17:654,6.76E-05,2.89E-05,-1.48E-05,-1.00E-05,1.31E-06,-9.67E-06,-0.000249696,,-7.39628305,,
44,17:49:18:180,3.45E-05,2.79E-05,1.26E-05,-2.81E-05,3.95E-05,-1.83E-05,-0.000258464,,-0.463320727,-6.535964863,
45,17:49:18:707,-6.19E-05,-1.57E-05,-2.88E-05,4.47E-06,9.05E-05,-4.80E-05,-0.000152049,,-0.530767136,-1.680991383,
46,17:49:19:233,2.31E-05,-2.16E-05,6.96E-06,-4.69E-05,-7.28E-05,3.97E-05,-0.000230025,-1.132219302,-0.544545873,3.15896916,
47,17:49:19:760,-2.35E-05,2.29E-05,7.21E-05,4.87E-05,-3.86E-05,-6.81E-05,-0.000164848,2.489721778,1.765921989,4.274006906,
48,17:49:20:288,-0.000108719,-9.71E-05,4.18E-05,5.63E-05,2.90E-05,-1.95E-05,-0.000278609,,-0.67236197,-9.610992902,
49,17:49:20:815,6.74E-05,3.05E-05,1.99E-06,1.38E-06,-6.11E-05,-3.61E-05,-0.000221493,0.839948125,0.590743397,3.625782542,
50,17:49:21:341,-6.04E-05,3.15E-05,3.14E-05,2.49E-05,-6.77E-05,7.63E-06,-0.000359181,-0.046249313,-0.112710796,5.308930075,
51,17:49:21:868,1.72E-05,-2.95E-05,-6.54E-06,-8.73E-05,-0.000103309,1.14E-05,-0.00020751,-0.402595989,-0.110017707,2.008631537,
52,17:49:22:394,-5.59E-05,-2.09E-06,3.97E-05,-1.00E-06,-2.38E-05,-1.79E-05,-0.000176224,0.839916954,0.750445155,7.406926225,
53,17:49:22:921,9.15E-05,3.39E-06,-3.24E-05,-6.00E-05,-1.27E-06,-1.60E-05,-0.000203007,2.579239583,12.56078449,,
54,17:49:23:447,-7.80E-05,-5.85E-05,6.25E-06,1.49E-05,4.82E-05,-2.19E-06,-0.00023832,,-0.045464394,-4.94185623,
55,17:49:23:975,0.000117068,4.63E-05,5.65E-07,-1.55E-05,-8.48E-05,-7.89E-05,-0.000132139,2.083761443,0.930226227,1.558630991,
56,17:49:24:502,4.42E-05,-2.90E-05,4.89E-05,-6.95E-06,4.92E-05,5.67E-05,-0.00020514,,1.153658144,-4.172631572,
57,17:49:25:029,1.55E-05,1.84E-05,3.92E-05,6.51E-05,-0.000148108,4.15E-05,-0.000328612,-0.457711274,-0.280350303,2.218734109,
58,17:49:25:555,5.98E-05,1.96E-06,1.53E-05,-9.95E-05,-5.92E-05,-4.54E-05,-0.000255858,0.610777856,0.767375113,4.321058144,
59,17:49:26:082,-4.96E-05,0.000101499,2.71E-05,-2.19E-06,-4.19E-05,-4.52E-05,-0.000374821,0.665170779,1.080041996,8.955481875,
60,17:49:26:608,4.91E-05,4.84E-05,4.25E-05,-1.95E-06,-5.85E-05,-4.12E-05,-0.00030444,0.760343716,0.704690556,5.203384163,
61,17:49:27:135,-2.66E-05,-4.94E-06,-4.09E-05,-3.79E-05,-1.53E-05,5.04E-05,-0.000328849,,-3.284348684,21.42731559,
62,17:49:27:663,1.74E-05,6.03E-05,7.90E-05,2.90E-05,-7.87E-05,-2.58E-05,-0.000205377,0.613059021,0.327937205,2.610261901,
63,17:49:28:189,2.19E-05,-3.80E-05,9.67E-05,-7.62E-07,1.02E-05,-0.000126079,-0.00029188,,-12.3342482,-28.55449668,
64,17:49:28:716,-7.82E-05,8.58E-05,2.66E-05,-0.000160601,1.77E-05,3.87E-05,-0.000153234,,2.183875361,-8.643378919,
65,17:49:29:243,-2.07E-05,-1.61E-05,-8.44E-06,-9.69E-05,-2.64E-05,-3.91E-05,-0.00033264,,1.483622015,12.61332188,
66,17:49:29:769,-5.69E-05,5.41E-05,-2.76E-05,5.32E-05,-0.000144824,-7.49E-05,-0.000221019,1.252743905,0.517109628,1.526118156,
67,17:49:30:296,4.13E-05,-6.61E-05,4.44E-05,-9.54E-05,-7.54E-05,-0.000140336,-0.000249459,,1.861310383,3.308619087,
68,17:49:30:822,3.52E-05,2.67E-05,5.32E-05,-6.47E-06,-2.17E-05,-1.39E-05,-0.000280505,0.29981944,0.64022734,12.93798923,
69,17:49:31:350,8.90E-06,-5.49E-05,4.77E-05,2.61E-05,0.00010054,-2.67E-05,-0.00032956,,-0.265937239,-3.277903625,
70,17:49:31:877,-6.96E-06,9.10E-06,7.35E-05,1.61E-05,-5.59E-05,-4.99E-05,-0.000165085,1.536077992,0.891843971,2.951746026,
71,17:49:32:403,7.42E-05,-8.83E-05,-7.26E-05,-2.24E-05,-0.000161242,-2.02E-05,-0.000271736,,0.125228188,1.685265962,
72,17:49:32:930,-9.40E-05,9.10E-05,9.09E-06,-0.000105897,-9.91E-05,-1.81E-05,-0.000326479,0.076474381,0.182549093,3.294873677,
73,17:49:33:457,0.00010902,-3.75E-06,4.94E-05,5.25E-05,3.27E-05,2.54E-05,-0.000276476,,0.775515552,-8.444091123,
74,17:49:33:983,-6.09E-05,-8.54E-05,-1.46E-05,4.54E-05,-9.25E-05,2.21E-05,-0.000298989,,-0.239075273,3.23163974,
75,17:49:34:509,-0.000112268,3.46E-05,-7.25E-06,-4.05E-05,-9.28E-05,0.00013223,-0.000303018,,-1.425601504,3.266901892,
76,17:49:35:036,1.53E-05,-5.80E-05,-3.88E-05,5.90E-06,1.68E-05,-2.79E-05,-0.000330745,,-1.662049253,-19.69872878,
77,17:49:35:564,-1.69E-05,1.01E-06,-4.44E-05,7.80E-06,-0.000119962,-0.000151322,-0.000368423,2.102823842,1.261411941,3.071160242,
78,17:49:36:090,-2.02E-05,-4.20E-07,-3.83E-07,5.20E-05,-3.53E-05,-9.85E-05,-0.000263915,,2.79142827,7.479346266,
79,17:49:36:617,-5.19E-05,-1.90E-05,5.50E-05,-5.40E-05,4.59E-06,-7.56E-05,-0.000210354,,-16.46179878,-45.80955454,
80,17:49:37:144,2.48E-05,2.96E-05,-4.65E-06,-1.71E-06,-3.58E-05,0.000101136,-0.000268181,,-2.828582438,7.500517377,
