id,Time,x,y,z
PositionLog0, 18:32:41.957,35670,70345,20733
PositionLog1, 18:32:44.259,35667,70288,20733
PositionLog2, 18:32:46.439,35664,70235,20733
PositionLog3, 18:32:49.311,35661,70167,20733
PositionLog4, 18:32:51.323,35659,70120,20733
PositionLog5, 18:32:53.352,35656,70066,20733
PositionLog6, 18:32:55.369,35654,70020,20733
PositionLog7, 18:32:58.546,35650,69938,20733
PositionLog8, 18:33:01.506,35647,69874,20733
PositionLog9, 18:33:04.415,35643,69797,20733
PositionLog10, 18:33:06.494,35640,69745,20733
PositionLog11, 18:33:09.400,35636,69674,20733
PositionLog12, 18:33:11.419,35633,69625,20733
PositionLog13, 18:33:13.425,35629,69574,20733
PositionLog14, 18:33:15.451,35626,69528,20733
PositionLog15, 18:33:17.618,35623,69476,20733
PositionLog16, 18:33:20.485,35617,69406,20733
PositionLog17, 18:33:22.541,35613,69356,20733
PositionLog18, 18:33:25.601,35605,69278,20733
PositionLog19, 18:33:28.568,35598,69211,20733
PositionLog20, 18:33:30.615,35591,69158,20733
PositionLog21, 18:33:33.561,35583,69090,20733
PositionLog22, 18:33:35.574,35577,69038,20733
PositionLog23, 18:33:38.576,35568,68968,20733
PositionLog24, 18:33:40.596,35561,68915,20733
PositionLog25, 18:33:42.603,35555,68868,20733
PositionLog26, 18:33:44.614,35548,68815,20733
PositionLog27, 18:33:46.634,35543,68769,20733
PositionLog28, 18:33:48.640,35537,68722,20733
PositionLog29, 18:33:50.644,35530,68672,20733
PositionLog30, 18:33:52.799,35524,68620,20733
PositionLog31, 18:33:55.675,35516,68549,20733
PositionLog32, 18:33:57.709,35511,68506,20733
PositionLog33, 18:33:59.745,35505,68453,20733
PositionLog34, 18:34:01.761,35499,68404,20733
PositionLog35, 18:34:04.787,35492,68333,20733
PositionLog36, 18:34:07.801,35488,68257,20733
PositionLog37, 18:34:09.830,35488,68212,20733
PositionLog38, 18:34:12.805,35492,68140,20733
PositionLog39, 18:34:14.982,35495,68088,20733
