Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9),Column1
1,16:03:17:532,-1.35E-05,-1.03E-05,-4.33E-06,2.74E-05,-7.19E-05,-4.47E-05,-0.000606835,,0.621413689,8.435282252,
2,16:03:18:059,6.82E-06,6.92E-05,3.31E-05,-1.59E-06,-0.000121215,-4.33E-05,-0.000522179,,0.357229398,4.307855925,
3,16:03:18:587,8.09E-05,4.66E-05,8.12E-05,-5.08E-05,-2.71E-05,-4.56E-08,-0.00038344,,0.001680427,14.13814509,
4,16:03:19:114,-7.20E-05,3.95E-05,6.11E-05,2.03E-05,-7.92E-05,-0.000111572,-0.000581937,,1.408488705,7.346367122,
5,16:03:19:640,5.77E-05,-4.91E-05,-1.45E-05,2.10E-05,2.45E-06,3.88E-05,-0.000577431,,,,
6,16:03:20:167,-7.86E-06,-0.000105559,2.79E-05,4.27E-05,-3.81E-05,-7.46E-05,-0.000521704,,,13.67510253,
7,16:03:20:694,-3.39E-05,2.06E-05,-5.75E-06,-9.96E-05,4.87E-05,-7.58E-05,-0.000610155,,,,
8,16:03:21:220,6.65E-07,-3.79E-05,6.73E-05,-5.88E-06,-8.04E-05,-0.000107364,-0.000532138,,1.335581524,6.619668143,
9,16:03:21:746,2.79E-05,-1.03E-06,1.25E-05,-6.99E-05,-0.000119104,-0.000173994,-0.00057506,,1.460860175,4.828232529,
10,16:03:22:273,-6.73E-05,-1.50E-06,-5.03E-05,1.74E-05,-9.31E-05,8.84E-06,-0.00054115,,-0.094990933,5.815163516,
11,16:03:22:799,-0.000111514,3.50E-06,-1.52E-05,0.00014209,1.11E-05,-0.000145238,-0.000557275,,,,
12,16:03:23:327,7.71E-05,4.69E-06,5.47E-05,1.39E-05,-0.000199816,-5.80E-05,-0.00069267,,0.29042571,3.466538543,
13,16:03:23:852,2.62E-05,3.16E-05,-8.75E-05,4.27E-05,-0.000132009,-8.02E-05,-0.000608732,0.853539556,0.607863465,4.611303387,
14,16:03:24:380,2.31E-05,-0.000116273,3.05E-05,-1.94E-05,-9.94E-05,-7.21E-05,-0.000598773,,0.724996281,6.024249046,
15,16:03:24:907,4.09E-05,3.87E-05,-3.89E-05,2.70E-05,-0.000130601,2.03E-05,-0.000579091,,-0.155413612,4.434053683,
16,16:03:25:434,-2.35E-05,-8.70E-05,3.12E-05,3.46E-05,-7.43E-05,-9.63E-06,-0.000622485,,0.129663098,8.379507231,
17,16:03:25:960,-7.55E-05,4.35E-05,5.92E-05,2.79E-05,-6.96E-05,-0.000186384,-0.000652125,,,9.370468571,
18,16:03:26:486,0.000131557,9.69E-06,3.48E-05,3.43E-05,-3.32E-05,-8.00E-06,-0.000695041,,0.24066792,20.92105391,
19,16:03:27:013,-6.20E-06,-0.000115321,-0.000106907,2.72E-05,-0.00013412,-5.97E-05,-0.000628176,,0.444886691,4.683672141,
