Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9)
70,14:34:10:878,-1.04E-05,-0.000124473,0.001470501,0.000165057,0.02820128,0.020360623,0.245674131,0.703085123,7.2197513212223874e-001,8.7114532641687870e+000
71,14:34:11:406,-1.20E-06,-4.67E-05,0.002541287,0.00023905,0.046980182,0.034298209,0.412204891,0.710581909,7.3005695884822408e-001,8.7740163858742566e+000
72,14:34:11:931,2.64806E-05,9.75535E-06,0.002899887,0.00029544,0.053542844,0.038937894,0.469173637,0.708781715,7.2722872071108657e-001,8.7625833631719594e+000
73,14:34:12:459,-3.50E-05,-5.21E-05,0.002819688,0.000260226,0.052301552,0.03805556,0.459283402,0.707939553,7.2761817745375279e-001,8.7814488902401688e+000
74,14:34:12:986,2.60075E-05,-3.07E-05,0.002799106,0.000222633,0.050968157,0.037080174,0.447392794,0.708447374,7.2751648008299241e-001,8.7778884125150292e+000
75,14:34:13:513,5.29771E-05,2.68922E-05,0.002682252,0.000200268,0.050889423,0.036920401,0.446220888,0.707675896,7.2550244781629647e-001,8.7684407715943848e+000
76,14:34:14:039,-4.98E-06,-7.52E-05,0.002699992,0.000162916,0.050959729,0.037184243,0.447192173,0.710629055,7.2967897218513322e-001,8.7754031998502366e+000
77,14:34:14:565,-9.35E-05,-1.40E-05,0.002677758,0.000125327,0.050915667,0.037100892,0.446138769,0.711152227,7.2867339608746251e-001,8.7623083068276628e+000
78,14:34:15:092,7.82914E-05,5.236E-05,0.002834355,0.000128658,0.051040636,0.037195675,0.448449287,0.710968852,7.2874629207910602e-001,8.7861225585295610e+000
79,14:34:15:618,6.48062E-05,-4.52E-05,0.002716786,0.000235005,0.052820727,0.038520477,0.463404316,0.710176449,7.2926819963069356e-001,8.7731528548285205e+000
80,14:34:16:146,3.66533E-05,8.5653E-06,0.002949808,0.00023905,0.055364877,0.040462633,0.486658283,0.711640224,7.3083578309491959e-001,8.7900183979053939e+000
81,14:34:16:673,4.63529E-05,-8.83E-05,0.003069297,0.00010796,0.055857666,0.040668948,0.49057918,0.709212088,7.2808176877203545e-001,8.7826652854926248e+000
82,14:34:17:200,-6.08E-05,-0.000106625,0.003047291,0.000160061,0.055120623,0.040179347,0.48426721,0.709343176,7.2893491738455563e-001,8.7855902489486795e+000
83,14:34:17:726,2.31686E-05,-4.12E-05,0.002890897,0.000206454,0.054247151,0.039448095,0.475728285,0.708601383,7.2719201077718043e-001,8.7696454483832849e+000
84,14:34:18:253,1.55983E-05,4.51915E-06,0.002953357,0.000164581,0.05280917,0.038495676,0.463401977,0.710855943,7.2895816629692500e-001,8.7750285860227510e+000
85,14:34:18:779,-0.000112851,5.04559E-05,0.002726485,0.000119142,0.051961651,0.037792202,0.455563597,0.710390776,7.2730950129332328e-001,8.7673041387474662e+000
86,14:34:19:305,-6.06E-05,2.87963E-05,0.002703067,7.84617E-05,0.052017088,0.037780049,0.456735879,0.7089393,7.2630073410141305e-001,8.7804969088521361e+000
87,14:34:19:832,-5.04E-05,1.61816E-05,0.002879777,0.000185756,0.051844279,0.03764542,0.454496371,0.708377465,7.2612485699426232e-001,8.7665674866852310e+000
88,14:34:20:360,8.5389E-05,-1.10E-05,0.002673027,0.00016244,0.050982363,0.037088747,0.447435768,0.70916466,7.2748190497497234e-001,8.7762853186537466e+000
89,14:34:20:887,-2.49E-05,-1.90E-05,0.002689584,0.000108674,0.049388144,0.035910677,0.433203333,0.709294568,7.2711127802149755e-001,8.7714033435252414e+000
90,14:34:21:413,-2.84E-05,1.92758E-05,0.002638967,6.13338E-05,0.048720628,0.035407751,0.427107008,0.709959842,7.2675072048367262e-001,8.7664512073752956e+000
91,14:34:21:940,3.28681E-05,3.52227E-05,0.002577,0.000254277,0.048376726,0.035282715,0.424822548,0.710474508,7.2933241899293666e-001,8.7815481260335986e+000
92,14:34:22:467,-4.98E-06,7.52102E-05,0.002577236,0.000107723,0.047934086,0.035000784,0.421852039,0.712203888,7.3018570509605596e-001,8.8006693683497002e+000
93,14:34:22:993,4.87187E-05,-4.05E-06,0.002613659,0.000129371,0.047601992,0.034721551,0.418206801,0.710933417,7.2941382653544951e-001,8.7854894466452365e+000
94,14:34:23:519,6.66988E-05,-6.81E-05,0.002403757,0.000177666,0.047360386,0.034472855,0.415089148,0.70912909,7.2788374344181161e-001,8.7644799048369677e+000
95,14:34:24:046,5.53429E-05,3.11765E-05,0.002489732,0.000295916,0.0465456,0.033831765,0.408145942,0.708105589,7.2685205287549803e-001,8.7687330902652789e+000
96,14:34:24:574,-0.000100551,1.52296E-05,0.002473887,0.000226678,0.04597797,0.033543825,0.403751306,0.710608428,7.2956297960862126e-001,8.7814078974370364e+000
97,14:34:25:100,3.76989E-06,-1.31E-05,0.002546254,0.000207882,0.046120568,0.033506025,0.404025885,0.708290518,7.2648770399993257e-001,8.7602106196221836e+000
98,14:34:25:627,-2.96E-05,-6.21E-05,0.002541051,0.000189562,0.046574662,0.033948058,0.408162243,0.710085157,7.2889542331383317e-001,8.7636114370406428e+000
99,14:34:26:154,3.66533E-05,-0.000101865,0.002518347,0.000189562,0.046678429,0.033995626,0.41038415,0.707873214,7.2829412712398511e-001,8.7917300863536436e+000
100,14:34:26:680,6.55159E-05,-1.38E-05,0.002575581,0.000113908,0.04658475,0.033815356,0.40839534,0.708245803,7.2588897042131295e-001,8.7667173896263453e+000
101,14:34:27:207,4.75358E-05,-3.76E-05,0.002457333,0.000122472,0.046453134,0.033936167,0.408327942,0.711469636,7.3054633006562930e-001,8.7901053402647982e+000
102,14:34:27:733,6.66988E-05,5.59303E-05,0.002567303,0.000177904,0.046491801,0.033980166,0.408291674,0.712810882,7.3088513871550687e-001,8.7820146609525462e+000
103,14:34:28:260,8.26468E-06,2.57021E-05,0.002448347,0.000191466,0.046705333,0.034007042,0.410393304,0.709428781,7.2811903686756219e-001,8.7868616725173503e+000
104,14:34:28:786,9.225E-05,-1.17E-05,0.002503921,8.94047E-05,0.04602406,0.033475121,0.403452252,0.709910314,7.2733959876262366e-001,8.7661161268786607e+000
105,14:34:29:314,-6.22E-05,1.76097E-05,0.002346898,0.00019099,0.045913399,0.033506263,0.403067415,0.711250202,7.2977090596572070e-001,8.7788624344630062e+000
106,14:34:29:841,6.6087E-06,-4.45E-05,0.002433449,0.000140315,0.045720192,0.033455628,0.4025869,0.711748108,7.3174731883648614e-001,8.8054506781686523e+000
107,14:34:30:367,8.06573E-05,-0.000158503,0.002450948,9.48762E-05,0.045484315,0.032957976,0.398562528,0.705518054,7.2460092526714170e-001,8.7626368046578271e+000
108,14:34:30:894,8.32597E-05,0.000133528,0.002445746,0.000232626,0.044388642,0.032177415,0.387883054,0.709212117,7.2490199657900833e-001,8.7383401586346618e+000
109,14:34:31:421,-1.87E-05,-8.33E-05,0.002255931,8.63121E-05,0.043544027,0.03188085,0.38332747,0.712129501,7.3215209092778544e-001,8.8032159580564517e+000
110,14:34:31:947,2.74269E-05,-7.12E-05,0.002254747,0.000170767,0.042551028,0.030974578,0.373851706,0.708068084,7.2793959682178255e-001,8.7859618147278891e+000
111,14:34:32:473,-2.75E-05,-5.59E-05,0.002156208,0.000134605,0.041430196,0.030218674,0.363706081,0.71025712,7.2938767390058290e-001,8.7787680410412818e+000
112,14:34:33:000,9.81648E-05,9.51734E-06,0.002227032,0.000104868,0.041354066,0.030228645,0.363722623,0.712303458,7.3097152850878300e-001,8.7953291844901020e+000
113,14:34:33:526,4.8009E-05,1.97518E-05,0.002280804,0.000145549,0.042374161,0.030903784,0.373093947,0.710074512,7.2930729064266764e-001,8.8047513343936235e+000
114,14:34:34:054,2.71903E-05,-5.24E-05,0.002218504,0.000117238,0.042947774,0.031411568,0.378249241,0.711322948,7.3138989280260136e-001,8.8071907930508715e+000
115,14:34:34:581,7.35597E-05,-2.15E-06,0.002316101,6.65673E-05,0.044620621,0.032508093,0.391905077,0.710689666,7.2854415928388239e-001,8.7830484220120848e+000
