Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9)
1,16:57:29:529,-4.08E-05,-4.30E-06,-5.09E-06,3.94E-05,8.20E-05,1.23E-05,-0.000126634,,0.149828228,-1.544512049
2,16:57:30:056,2.67E-05,5.02E-05,0.000129152,4.41E-06,3.62E-05,8.08E-05,-3.83E-05,,2.228686576,-1.055587991
3,16:57:30:584,-1.69E-05,7.31E-05,0.0001178,-2.41E-05,-8.39E-05,3.63E-07,-4.39E-05,-0.04374065,-0.004326898,0.524062621
4,16:57:31:111,8.59E-07,9.03E-06,2.52E-05,2.61E-05,2.94E-05,-2.89E-05,2.26E-06,,-0.980112613,0.076708304
5,16:57:31:638,-8.14E-06,0.000118339,6.06E-05,-1.15E-05,-8.81E-05,4.85E-05,-8.23E-05,,-0.550845645,0.93473035
6,16:57:32:164,1.84E-05,6.48E-05,1.43E-05,-6.86E-05,-9.50E-06,1.84E-05,-8.64E-06,,-1.933127416,0.909734327
7,16:57:32:690,-2.07E-05,-8.83E-06,0.000110468,2.15E-05,-2.73E-05,-4.80E-05,-2.24E-06,,1.757404452,0.082105711
8,16:57:33:217,-1.48E-05,5.05E-05,0.000133172,-6.20E-05,-2.73E-05,-2.37E-05,-1.53E-05,,0.867797129,0.559015662
9,16:57:33:743,-0.000120078,-2.16E-06,3.50E-05,3.20E-05,1.09E-05,-5.67E-05,-3.54E-05,,,-3.246319994
10,16:57:34:271,7.75E-05,-8.74E-05,7.03E-05,4.22E-05,7.86E-06,3.38E-05,2.78E-05,,4.298994081,3.543157053
11,16:57:34:798,3.04E-05,-1.07E-05,-3.42E-05,5.96E-05,-2.94E-05,-6.32E-05,-9.32E-05,,2.147489628,3.167001395
12,16:57:35:324,6.07E-06,6.95E-05,-1.77E-06,3.13E-05,8.33E-06,1.18E-05,-5.32E-05,,1.418727541,-6.385534969
13,16:57:35:851,-3.16E-05,6.59E-05,-3.43E-06,6.96E-05,7.05E-05,-2.72E-05,-4.16E-05,,-0.386125885,-0.589781638
14,16:57:36:378,3.16E-05,-8.57E-05,-2.36E-05,-3.25E-05,-4.89E-05,-3.38E-07,4.06E-05,,0.006919875,-0.831078924
15,16:57:36:904,-1.19E-05,3.26E-05,0.00016652,4.37E-05,7.71E-05,-1.34E-05,-6.91E-05,,-0.174253925,-0.896160761
16,16:57:37:430,-8.67E-05,6.38E-05,-3.66E-06,2.75E-05,-4.80E-05,-2.00E-05,-0.000106259,0.830711475,0.416392542,2.215196496
17,16:57:37:957,-2.02E-05,2.40E-05,-1.86E-05,3.53E-05,-4.00E-05,4.78E-05,-0.000101994,,-1.195615422,2.550309213
18,16:57:38:485,3.54E-05,3.81E-05,-3.11E-05,-1.53E-05,0.000146271,-3.96E-05,-0.000110997,,-0.270786824,-0.758845747
19,16:57:39:012,1.10E-06,-4.06E-06,3.57E-05,1.11E-05,9.35E-05,0.000115377,-4.87E-05,,1.234172757,-0.520774003
20,16:57:39:538,6.64E-05,3.50E-05,2.43E-05,-4.89E-05,-6.92E-06,-3.70E-05,-7.24E-05,1.20759925,5.353491014,10.46181027
21,16:57:40:065,-7.98E-05,-8.93E-05,-5.55E-05,-6.84E-05,7.63E-06,-6.74E-05,-6.72E-05,,,-8.808066006
22,16:57:40:592,-6.19E-05,5.45E-05,2.26E-06,-1.80E-05,-6.63E-05,8.54E-06,-5.32E-06,,-0.128942712,0.080344689
23,16:57:41:118,8.09E-05,4.00E-05,-4.82E-05,-9.34E-05,-1.16E-07,1.28E-05,-9.96E-05,,,
24,16:57:41:644,-1.14E-05,2.90E-05,-5.34E-05,-2.06E-05,5.98E-06,-2.79E-05,-4.99E-05,,-4.666405311,-8.334586744
