id,Time,x,y,z
PositionLog0, 19:11:00.926,35130,53385,20799
PositionLog1, 19:11:03.564,35130,53326,20799
PositionLog2, 19:11:05.732,35130,53267,20799
PositionLog3, 19:11:08.611,35130,53202,20799
PositionLog4, 19:11:10.634,35130,53148,20799
PositionLog5, 19:11:13.773,35129,53070,20799
PositionLog6, 19:11:16.722,35129,53004,20799
PositionLog7, 19:11:19.729,35129,52926,20799
PositionLog8, 19:11:22.742,35129,52849,20799
PositionLog9, 19:11:24.743,35129,52803,20799
PositionLog10, 19:11:26.791,35129,52754,20799
PositionLog11, 19:11:28.886,35129,52699,20799
PositionLog12, 19:11:31.797,35129,52630,20799
PositionLog13, 19:11:33.836,35129,52579,20799
PositionLog14, 19:11:35.940,35129,52531,20799
PositionLog15, 19:11:38.786,35129,52456,20799
PositionLog16, 19:11:40.801,35129,52410,20799
PositionLog17, 19:11:42.857,35129,52356,20799
PositionLog18, 19:11:45.814,35129,52287,20799
PositionLog19, 19:11:47.817,35129,52233,20799
PositionLog20, 19:11:50.819,35129,52164,20799
PositionLog21, 19:11:52.822,35130,52109,20799
PositionLog22, 19:11:54.850,35130,52065,20799
PositionLog23, 19:11:57.853,35130,51991,20799
PositionLog24, 19:11:59.872,35129,51945,20799
PositionLog25, 19:12:01.874,35129,51892,20799
PositionLog26, 19:12:04.876,35129,51825,20799
PositionLog27, 19:12:06.909,35129,51775,20799
PositionLog28, 19:12:08.933,35129,51729,20799
PositionLog29, 19:12:10.939,35130,51677,20799
PositionLog30, 19:12:13.941,35133,51609,20799
PositionLog31, 19:12:16.024,35137,51556,20799
PositionLog32, 19:12:19.006,35145,51484,20799
PositionLog33, 19:12:22.013,35153,51415,20799
PositionLog34, 19:12:24.034,35159,51366,20799
PositionLog35, 19:12:27.000,35167,51298,20799
PositionLog36, 19:12:29.070,35174,51242,20799
PositionLog37, 19:12:32.075,35183,51176,20799
PositionLog38, 19:12:34.103,35190,51122,20799
PositionLog39, 19:12:36.129,35196,51078,20799
PositionLog40, 19:12:38.133,35202,51024,20799
PositionLog41, 19:12:40.144,35208,50979,20799
PositionLog42, 19:12:42.206,35214,50925,20799
PositionLog43, 19:12:45.162,35222,50859,20799
PositionLog44, 19:12:47.221,35227,50806,20799
PositionLog45, 19:12:50.209,35233,50740,20799
PositionLog46, 19:12:52.259,35236,50689,20799
PositionLog47, 19:12:55.273,35239,50619,20799
PositionLog48, 19:12:57.292,35240,50565,20799
PositionLog49, 19:12:59.419,35241,50512,20799
PositionLog50, 19:13:02.314,35242,50440,20799
PositionLog51, 19:13:04.357,35242,50395,20799
PositionLog52, 19:13:07.332,35242,50317,20799
PositionLog53, 19:13:09.340,35242,50271,20799
PositionLog54, 19:13:11.343,35241,50216,20799
PositionLog55, 19:13:14.324,35240,50147,20799
PositionLog56, 19:13:17.315,35239,50069,20799
PositionLog57, 19:13:19.323,35238,50024,20799
PositionLog58, 19:13:21.325,35237,49969,20799
PositionLog59, 19:13:23.344,35235,49924,20799
PositionLog60, 19:13:26.321,35229,49850,20799
PositionLog61, 19:13:28.400,35222,49807,20799
PositionLog62, 19:13:31.525,35210,49734,20799
PositionLog63, 19:13:34.391,35199,49661,20799
PositionLog64, 19:13:37.405,35192,49594,20799
PositionLog65, 19:13:39.445,35195,49543,20799
PositionLog66, 19:13:42.453,35206,49477,20799
PositionLog67, 19:13:45.444,35222,49403,20799
PositionLog68, 19:13:47.547,35233,49358,20799
PositionLog69, 19:13:50.468,35252,49288,20799
PositionLog70, 19:13:52.486,35263,49244,20799
PositionLog71, 19:13:54.488,35276,49194,20799
PositionLog72, 19:13:57.531,35294,49125,20799
PositionLog73, 19:14:00.517,35310,49052,20799
PositionLog74, 19:14:02.612,35318,49008,20799
PositionLog75, 19:14:05.542,35332,48933,20799
PositionLog76, 19:14:07.646,35339,48888,20799
PositionLog77, 19:14:10.573,35353,48810,20799
PositionLog78, 19:14:13.562,35366,48736,20799
PositionLog79, 19:14:16.562,35378,48669,20799
PositionLog80, 19:14:18.634,35387,48615,20799
PositionLog81, 19:14:21.611,35398,48547,20799
PositionLog82, 19:14:23.626,35408,48493,20799
PositionLog83, 19:14:26.648,35419,48425,20799
PositionLog84, 19:14:29.635,35432,48349,20799
PositionLog85, 19:14:32.671,35445,48272,20799
PositionLog86, 19:14:35.706,35457,48204,20799
PositionLog87, 19:14:37.717,35466,48150,20799
PositionLog88, 19:14:40.765,35477,48080,20799
PositionLog89, 19:14:43.706,35490,48004,20799
PositionLog90, 19:14:45.740,35498,47957,20799
